Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",11,4,17,28,2,1.0,,1.0,1.0,5.0,1.0,,1.0,,,8.0,18.0,,1.0,2.0,3.0,2.0,67.0
7,"Burgoyne, Peter",12,2,15,27,,,,3.0,4.0,2.0,4.0,1.0,,1.0,,6.0,21.0,,,2.0,3.0,1.0,90.0
8,"Burgoyne, Shaun",10,1,10,20,2,1.0,,4.0,1.0,7.0,4.0,2.0,1.0,,,9.0,12.0,,,,1.0,,88.0
27,"Carlile, Alipate",2,4,7,9,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,8.0,,1.0,5.0,,,93.0
25,"Cassisi, Domenic",16,3,11,27,1,1.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,,,11.0,16.0,,,1.0,,,90.0
30,"Chaplin, Troy",7,8,9,16,,,,2.0,4.0,1.0,,1.0,1.0,,,6.0,11.0,1.0,,4.0,1.0,,77.0
35,"Cornes, Chad",10,2,8,18,,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,,4.0,14.0,,,3.0,3.0,,96.0
18,"Cornes, Kane",16,5,17,33,2,,,1.0,3.0,2.0,3.0,6.0,3.0,4.0,,10.0,23.0,,1.0,1.0,5.0,1.0,100.0
37,"Deluca, Fabian",1,3,5,6,,,6.0,,,,1.0,2.0,,,,3.0,3.0,1.0,,1.0,,,42.0
33,"Ebert, Brett",10,5,,10,1,2.0,,,,3.0,,2.0,,1.0,,3.0,8.0,,5.0,1.0,,3.0,86.0
5,"Lade, Brendon",11,9,7,18,1,,19.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,5.0,14.0,,2.0,1.0,4.0,,86.0
12,"Lonie, Nathan",10,7,7,17,,,1.0,,1.0,5.0,,2.0,,,,,17.0,,,4.0,2.0,,78.0
4,"Motlop, Daniel",7,2,4,11,2,,,2.0,,2.0,1.0,3.0,1.0,1.0,,4.0,7.0,1.0,1.0,4.0,,2.0,86.0
16,"Pearce, Danyle",17,8,10,27,,2.0,,3.0,1.0,5.0,1.0,6.0,,1.0,,4.0,23.0,,2.0,3.0,2.0,2.0,74.0
36,"Pettigrew, Michael",6,1,5,11,,,,2.0,1.0,2.0,,,,,1.0,1.0,10.0,,,2.0,7.0,1.0,81.0
15,"Rodan, David",7,1,12,19,,,,3.0,2.0,2.0,5.0,1.0,3.0,,,8.0,11.0,,,1.0,8.0,1.0,87.0
9,"Surjan, Jacob",8,3,11,19,,,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,,4.0,12.0,,,2.0,,,89.0
6,"Thomson, Adam",6,3,12,18,1,1.0,,1.0,,3.0,5.0,,2.0,,,10.0,9.0,,1.0,2.0,,,58.0
28,"Thurstans, Toby",5,7,4,9,,,,1.0,1.0,,,1.0,1.0,,,3.0,7.0,1.0,,6.0,,,95.0
39,"Westhoff, Justin",7,6,3,10,4,1.0,,3.0,,,,2.0,1.0,2.0,,6.0,4.0,3.0,5.0,4.0,,1.0,93.0
24,"White, Damon",8,7,3,11,,1.0,,,,5.0,,3.0,,,,2.0,9.0,1.0,1.0,1.0,,,66.0
21,"Wilson, Michael",9,6,12,21,1,,,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,6.0,14.0,,1.0,,1.0,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,97,189,385,17,14.0,29.0,38.0,29.0,54.0,34.0,45.0,21.0,18.0,6.0,114.0,271.0,8.0,21.0,50.0,40.0,14.0,
Opposition,Opposition,218,138,146,364,14,9.0,16.0,44.0,30.0,45.0,27.0,63.0,18.0,21.0,,103.0,259.0,6.0,11.0,38.0,33.0,10.0,
