Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",25y 30d,129 (53-1-75 41.47%),72 (0.56),←,
5,"Broadbent, Matthew",23y 30d,77 (26-1-50 34.42%),36 (0.47),←,
25,"Cassisi, Domenic",30y 343d,213 (105-2-106 49.77%),73 (0.34),←,
30,"Colquhoun, Sam",18y 254d,8 (3-0-5 37.50%),2 (0.25),←,
18,"Cornes, Kane",30y 238d,266 (132-2-132 50.00%),91 (0.34),←,
7,"Ebert, Brad",23y 151d,120 (45-1-74 37.92%),62 (0.52),44 (17-1-26 39.77%),29 (0.66)
36,"Hombsch, Jack",20y 177d,15 (3-0-12 20.00%),,6 (3-0-3 50.00%),
42,"Jonas, Tom",22y 234d,32 (12-1-19 39.06%),,←,
23,"Lobbe, Matthew",24y 200d,41 (16-0-25 39.02%),9 (0.22),←,
44,"Logan, Tom",28y 60d,112 (35-1-76 31.70%),26 (0.23),109 (35-1-73 32.57%),26 (0.24)
6,"Monfries, Angus",26y 224d,172 (70-3-99 41.57%),202 (1.17),22 (12-0-10 54.55%),37 (1.68)
26,"Moore, Andrew",22y 93d,39 (16-0-23 41.03%),14 (0.36),←,
13,"OShea, Cameron",21y 171d,44 (16-0-28 36.36%),7 (0.16),←,
29,"Pittard, Jasper",22y 152d,29 (13-0-16 44.83%),5 (0.17),←,
4,"Renouf, Brent",25y 120d,67 (35-1-31 52.99%),13 (0.19),15 (6-0-9 40.00%),4 (0.27)
28,"Schulz, Jay",28y 135d,140 (51-3-86 37.50%),208 (1.49),69 (27-1-41 39.86%),150 (2.17)
15,"Stevenson, Lewis",24y 32d,19 (8-0-11 42.11%),2 (0.11),9 (5-0-4 55.56%),
12,"Trengove, Jackson",22y 302d,76 (24-1-51 32.24%),7 (0.09),←,
39,"Westhoff, Justin",26y 334d,132 (53-1-78 40.53%),171 (1.30),←,
16,"Wines, Ollie",18y 328d,22 (12-0-10 54.55%),6 (0.27),←,
20,"Wingard, Chad",20y 33d,41 (17-1-23 42.68%),49 (1.20),←,
40,"Young, Aaron",20y 268d,15 (2-1-12 16.67%),7 (0.47),←,
Totals,Totals,23y 360d,1809 (747-20-1042 41.29%),1062 (0.59),,
C,"Hinkley, Ken",46y 335d,21 (12-0-9 57.14%),,←,
