Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
41,"Ah Chee, Brendon",22y 146d,18 (11-0-7 61.11%),7 (0.39),←,
15,"Amon, Karl",20y 270d,11 (6-0-5 54.55%),9 (0.82),←,
1,"Boak, Travis",27y 288d,185 (85-1-99 46.22%),112 (0.61),←,
5,"Broadbent, Matthew",25y 288d,133 (59-1-73 44.74%),46 (0.35),←,
33,"Byrne-Jones, Darcy",20y 238d,6 (3-0-3 50.00%),2 (0.33),←,
22,"Dixon, Charlie",25y 235d,73 (23-1-49 32.19%),113 (1.55),8 (4-0-4 50.00%),19 (2.38)
7,"Ebert, Brad",26y 43d,177 (78-1-98 44.35%),93 (0.53),101 (50-1-50 50.00%),60 (0.59)
8,"Hartlett, Hamish",25y 275d,118 (53-1-64 45.34%),66 (0.56),←,
36,"Hombsch, Jack",23y 69d,69 (34-0-35 49.28%),,60 (34-0-26 56.67%),
24,"Impey, Jarman",20y 311d,41 (23-0-18 56.10%),8 (0.20),←,
42,"Jonas, Tom",25y 127d,81 (39-1-41 48.77%),1 (0.01),←,
48,"Krakouer, Nathan",28y 10d,70 (32-0-38 45.71%),21 (0.30),57 (31-0-26 54.39%),13 (0.23)
3,"Neade, Jake",21y 352d,42 (24-0-18 57.14%),35 (0.83),←,
13,"OShea, Cameron",24y 63d,72 (33-0-39 45.83%),7 (0.10),←,
29,"Pittard, Jasper",25y 44d,84 (45-0-39 53.57%),11 (0.13),←,
21,"Polec, Jared",23y 216d,52 (30-0-22 57.69%),30 (0.58),36 (23-0-13 63.89%),21 (0.58)
14,"Stewart, Paul",28y 310d,92 (38-0-54 41.30%),33 (0.36),←,
12,"Trengove, Jackson",25y 195d,120 (49-1-70 41.25%),9 (0.08),←,
39,"Westhoff, Justin",29y 227d,189 (86-1-102 45.77%),240 (1.27),←,
16,"Wines, Ollie",21y 221d,70 (39-0-31 55.71%),33 (0.47),←,
20,"Wingard, Chad",22y 291d,95 (47-1-47 50.00%),159 (1.67),←,
40,"Young, Aaron",23y 161d,49 (24-1-24 50.00%),29 (0.59),←,
Totals,Totals,24y 182d,1847 (861-10-976 46.62%),1064 (0.58),,
C,"Hinkley, Ken",49y 228d,78 (45-0-33 57.69%),,←,
