Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Bannister, Jordan",4,4,4,8,,,,1.0,2.0,,,2.0,1.0,1.0,,2.0,7.0,,,1.0,4.0,,98.0
19,"Betts, Eddie",7,3,2,9,2,1.0,,1.0,,1.0,,2.0,,1.0,,4.0,4.0,1.0,,,,,72.0
18,"Bower, Paul",4,1,6,10,,,,,2.0,,,2.0,1.0,2.0,,2.0,8.0,,,5.0,1.0,,99.0
44,"Carrazzo, Andrew",15,8,10,25,,,,3.0,2.0,4.0,2.0,4.0,1.0,3.0,,5.0,21.0,,,1.0,1.0,1.0,82.0
28,"Cloke, Cameron",10,7,4,14,,,16.0,3.0,1.0,3.0,2.0,1.0,3.0,,,6.0,8.0,1.0,,2.0,,,69.0
37,"Edwards, Jake",8,8,4,12,1,2.0,,,,2.0,,,1.0,,,2.0,10.0,,2.0,1.0,,,79.0
25,"Fevola, Brendan",7,4,3,10,2,2.0,1.0,1.0,,2.0,,6.0,2.0,3.0,,5.0,6.0,,2.0,,1.0,2.0,94.0
4,"Gibbs, Bryce",8,4,7,15,,,,1.0,1.0,1.0,3.0,2.0,1.0,,,5.0,10.0,,,1.0,,,82.0
16,"Grigg, Shaun",9,2,5,14,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,11.0,,,1.0,1.0,,87.0
10,"Hadley, Richard",6,4,7,13,,2.0,,2.0,1.0,2.0,1.0,,,,,3.0,11.0,,,2.0,,,75.0
23,"Hartlett, Adam",7,4,2,9,,,,2.0,1.0,3.0,,1.0,1.0,,,3.0,5.0,,,1.0,,,63.0
33,"Houlihan, Ryan",14,8,6,20,1,1.0,,,1.0,4.0,1.0,1.0,1.0,,,4.0,16.0,1.0,3.0,,,,94.0
38,"Jackson, Ryan",7,3,3,10,,,,1.0,,2.0,,2.0,1.0,1.0,,3.0,8.0,,,,,,53.0
40,"Jamison, Michael",5,2,2,7,,,,1.0,2.0,,,3.0,,2.0,,2.0,5.0,1.0,,5.0,,,90.0
5,"Judd, Chris",13,2,9,22,,1.0,,5.0,,5.0,5.0,2.0,4.0,2.0,,10.0,12.0,,,,,2.0,75.0
3,"Murphy, Marc",15,7,6,21,1,,,3.0,,4.0,3.0,1.0,2.0,,,7.0,15.0,,1.0,,,,86.0
17,"OhAilpin, Setanta",2,2,5,7,1,,9.0,2.0,,,3.0,1.0,1.0,1.0,,3.0,3.0,,2.0,4.0,,,50.0
29,"Scotland, Heath",10,8,4,14,2,,,,2.0,2.0,,1.0,,1.0,,2.0,12.0,1.0,3.0,2.0,2.0,1.0,81.0
6,"Simpson, Kade",11,11,12,23,,1.0,,3.0,3.0,3.0,3.0,4.0,2.0,1.0,,9.0,15.0,1.0,2.0,2.0,5.0,,89.0
24,"Stevens, Nick",16,3,5,21,1,,,1.0,1.0,6.0,2.0,3.0,1.0,1.0,,6.0,13.0,,,1.0,2.0,2.0,85.0
32,"Thornton, Bret",24,12,4,28,,1.0,,1.0,8.0,2.0,1.0,3.0,3.0,,,12.0,17.0,3.0,1.0,1.0,7.0,,98.0
30,"Waite, Jarrad",8,3,4,12,,,,1.0,2.0,1.0,,3.0,1.0,2.0,,7.0,5.0,2.0,,5.0,3.0,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,110,114,324,11,13.0,26.0,33.0,30.0,48.0,27.0,45.0,27.0,22.0,,104.0,222.0,11.0,16.0,35.0,27.0,8.0,
Opposition,Opposition,186,89,185,371,17,7.0,27.0,32.0,30.0,50.0,31.0,55.0,22.0,27.0,6.0,118.0,253.0,12.0,13.0,50.0,27.0,10.0,
