Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Batchelor, Jake",8,3,2,10,,1.0,,,1.0,1.0,,2.0,1.0,,,3.0,7.0,1.0,,1.0,,,80.0
34,"Browne, Andrew",2,,7,9,,,18.0,,,,1.0,4.0,1.0,2.0,,6.0,3.0,,,3.0,,,76.0
9,"Cotchin, Trent",13,4,6,19,2,,2.0,2.0,2.0,1.0,5.0,6.0,,3.0,,14.0,5.0,1.0,1.0,1.0,1.0,,85.0
3,"Deledio, Brett",9,4,11,20,,,1.0,4.0,4.0,3.0,2.0,2.0,1.0,,,7.0,14.0,,,,,,85.0
10,"Edwards, Shane",8,4,8,16,,1.0,,2.0,1.0,3.0,1.0,,,,,4.0,12.0,,,3.0,,1.0,79.0
15,"Farmer, Mitch",7,5,3,10,2,,,,2.0,1.0,1.0,3.0,,,,3.0,7.0,,2.0,1.0,,,81.0
41,"Foley, Nathan",10,4,13,23,,1.0,,7.0,2.0,6.0,2.0,3.0,1.0,1.0,,8.0,16.0,,,,1.0,1.0,80.0
38 ↓,"Griffiths, Ben",1,1,2,3,,,3.0,,,,,,,,,2.0,1.0,1.0,,1.0,,,22.0
6,"Grigg, Shaun",9,4,6,15,,,2.0,6.0,,4.0,3.0,3.0,,1.0,,4.0,12.0,,,2.0,,,77.0
32,"Helbig, Brad",5,3,3,8,,,,2.0,2.0,,1.0,3.0,1.0,1.0,,1.0,9.0,,,,1.0,,81.0
27 ↑,"Hislop, Tom",3,4,5,8,,,,,,,,4.0,,3.0,,2.0,6.0,,,2.0,,,58.0
14,"Houli, Bachar",13,7,2,15,1,,,1.0,7.0,1.0,1.0,2.0,,,,3.0,9.0,,,1.0,,,88.0
23,"Jackson, Daniel",15,7,7,22,,2.0,1.0,5.0,3.0,6.0,5.0,3.0,1.0,,,11.0,13.0,2.0,1.0,4.0,,2.0,88.0
28,"King, Jake",6,1,3,9,1,1.0,,4.0,,1.0,2.0,,3.0,,,7.0,2.0,,,,,,92.0
4,"Martin, Dustin",5,4,16,21,,,,2.0,1.0,,1.0,2.0,,1.0,,3.0,18.0,,,1.0,1.0,1.0,92.0
26,"Nahas, Robin",15,4,14,29,1,,,3.0,2.0,8.0,2.0,2.0,2.0,1.0,,8.0,21.0,,,1.0,1.0,3.0,93.0
17,"Newman, Chris",8,2,6,14,,,,4.0,2.0,2.0,3.0,2.0,,1.0,,5.0,8.0,,,4.0,,1.0,91.0
37,"Post, Jayden",3,1,4,7,,,2.0,,1.0,,,,1.0,,,4.0,4.0,,,5.0,,,83.0
18,"Rance, Alex",13,9,7,20,,,,3.0,1.0,,,2.0,3.0,,,8.0,11.0,2.0,,5.0,,,97.0
8,"Riewoldt, Jack",8,7,,8,4,2.0,,3.0,,2.0,,1.0,,1.0,,3.0,5.0,2.0,7.0,1.0,,,100.0
2,"Thursfield, Will",7,3,4,11,,,,1.0,2.0,,,1.0,1.0,1.0,,2.0,7.0,,,3.0,,,82.0
29,"Vickery, Ty",5,3,5,10,1,,4.0,,,1.0,1.0,2.0,,1.0,,5.0,4.0,,1.0,,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,84,134,307,12,9.0,33.0,49.0,33.0,40.0,31.0,47.0,16.0,17.0,,113.0,194.0,9.0,12.0,39.0,5.0,9.0,
Opposition,Opposition,208,87,150,358,28,16.0,66.0,66.0,23.0,67.0,53.0,33.0,17.0,17.0,6.0,148.0,210.0,20.0,25.0,47.0,13.0,17.0,
