Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Astbury, David",7,6,8,15,,,,2.0,4.0,1.0,,3.0,,1.0,,6.0,10.0,2.0,,3.0,,,94.0
29,"Bolton, Shai",4,,,4,1,,,3.0,1.0,1.0,,3.0,1.0,1.0,,2.0,3.0,,,1.0,,,58.0
40,"Butler, Dan",4,2,4,8,2,,,7.0,,1.0,,3.0,1.0,2.0,,3.0,7.0,,2.0,1.0,,1.0,84.0
22,"Caddy, Josh",8,3,14,22,,1.0,2.0,3.0,,4.0,2.0,5.0,,2.0,,9.0,13.0,1.0,1.0,1.0,1.0,,83.0
46,"Castagna, Jason",7,4,3,10,2,2.0,,4.0,,1.0,1.0,1.0,2.0,,,6.0,5.0,,4.0,1.0,,,78.0
9,"Cotchin, Trent",11,6,6,17,,1.0,,2.0,,5.0,1.0,2.0,1.0,1.0,,7.0,10.0,,2.0,3.0,,3.0,83.0
10,"Edwards, Shane",5,3,8,13,,1.0,,1.0,,2.0,2.0,2.0,,,,7.0,7.0,,2.0,,,1.0,71.0
5,"Ellis, Brandon",13,6,10,23,1,,,2.0,3.0,3.0,,3.0,1.0,1.0,,8.0,16.0,1.0,,1.0,2.0,,83.0
6,"Grigg, Shaun",11,12,15,26,,1.0,,4.0,1.0,7.0,,2.0,1.0,1.0,,2.0,24.0,1.0,1.0,1.0,1.0,,84.0
2,"Grimes, Dylan",5,3,8,13,,,,3.0,2.0,2.0,1.0,4.0,1.0,1.0,,5.0,8.0,1.0,,2.0,,,82.0
14,"Houli, Bachar",10,9,18,28,,1.0,,5.0,2.0,2.0,2.0,3.0,1.0,1.0,,6.0,21.0,1.0,1.0,1.0,,,83.0
23,"Lambert, Kane",12,6,14,26,1,2.0,,6.0,,5.0,5.0,2.0,,,,8.0,18.0,,3.0,,,,81.0
27,"Lloyd, Sam",15,5,6,21,,,,5.0,2.0,6.0,,4.0,2.0,2.0,,6.0,15.0,,,,,2.0,87.0
4,"Martin, Dustin",18,6,12,30,,1.0,,1.0,2.0,7.0,6.0,4.0,1.0,2.0,1.0,16.0,15.0,2.0,2.0,2.0,1.0,1.0,79.0
33,"McIntosh, Kamdyn",10,2,3,13,,,,1.0,3.0,1.0,,3.0,1.0,,,2.0,10.0,,,3.0,,,82.0
37,"Menadue, Connor",10,3,7,17,,,,3.0,2.0,4.0,1.0,2.0,,,,4.0,14.0,,,1.0,2.0,,66.0
25,"Nankervis, Toby",4,,5,9,1,,23.0,2.0,,2.0,3.0,1.0,2.0,,,4.0,5.0,,,4.0,,,86.0
3,"Prestia, Dion",7,2,10,17,,1.0,,3.0,1.0,2.0,1.0,6.0,,2.0,,7.0,12.0,,,2.0,,1.0,81.0
18,"Rance, Alex",8,3,9,17,,,,4.0,2.0,,,1.0,6.0,,2.0,10.0,8.0,1.0,,6.0,,,99.0
8,"Riewoldt, Jack",11,9,2,13,3,1.0,,,,3.0,,5.0,1.0,2.0,,4.0,10.0,2.0,6.0,,,,98.0
17,"Rioli, Daniel",5,3,4,9,,2.0,,1.0,,,,1.0,1.0,1.0,,4.0,5.0,,,1.0,,,82.0
15,"Short, Jayden",8,3,9,17,,,,,3.0,3.0,,1.0,,1.0,,3.0,14.0,,,,4.0,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,96,175,368,11,18.0,25.0,62.0,28.0,62.0,25.0,61.0,23.0,21.0,3.0,129.0,250.0,12.0,24.0,34.0,11.0,9.0,
Opposition,Opposition,194,103,134,328,8,10.0,43.0,48.0,43.0,41.0,35.0,54.0,21.0,23.0,3.0,123.0,205.0,15.0,12.0,39.0,7.0,5.0,
