Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
16,"Aarts, Jake",27y 99d,36 (19-1-16 54.17%),33 (0.92),←,
7,"Baker, Liam",24y 49d,65 (42-2-21 66.15%),18 (0.28),←,
21,"Balta, Noah",22y 145d,45 (29-0-16 64.44%),11 (0.24),←,
29,"Bolton, Shai",23y 99d,68 (43-2-23 64.71%),60 (0.88),←,
35,"Broad, Nathan",28y 336d,85 (62-1-22 73.53%),1 (0.01),←,
11,"Castagna, Jason",25y 248d,119 (78-2-39 66.39%),115 (0.97),←,
9,"Cotchin, Trent",31y 344d,269 (148-3-118 55.58%),129 (0.48),←,
10,"Edwards, Shane",33y 143d,282 (144-6-132 52.13%),174 (0.62),←,
28,"Gibcus, Josh",18y 347d,1 (0-0-1 0.00%),,←,
34,"Graham, Jack",24y 20d,78 (53-2-23 69.23%),32 (0.41),←,
2,"Grimes, Dylan",30y 244d,193 (121-2-70 63.21%),3 (0.02),←,
19,"Lynch, Tom",29y 137d,194 (77-3-114 40.46%),386 (1.99),63 (40-2-21 65.08%),132 (2.10)
4,"Martin, Dustin",30y 264d,261 (148-3-110 57.28%),292 (1.12),←,
25,"Nankervis, Toby",27y 217d,99 (69-0-30 69.70%),29 (0.29),87 (62-0-25 71.26%),26 (0.30)
50,"Pickett, Marlion",30y 70d,39 (22-2-15 58.97%),7 (0.18),←,
3,"Prestia, Dion",29y 156d,174 (83-1-90 47.99%),56 (0.32),79 (57-1-21 72.78%),26 (0.33)
45,"Ralphsmith, Hugo",20y 128d,7 (3-0-4 42.86%),3 (0.43),←,
8,"Riewoldt, Jack",33y 137d,306 (160-6-140 53.27%),716 (2.34),←,
17,"Rioli, Daniel",24y 335d,115 (73-2-40 64.35%),89 (0.77),←,
5,"Ross, Jack",21y 195d,30 (16-1-13 55.00%),3 (0.10),←,
15,"Short, Jayden",26y 52d,115 (72-2-41 63.48%),21 (0.18),←,
20,"Soldo, Ivan",25y 337d,37 (27-1-9 74.32%),9 (0.24),←,
6,"Tarrant, Robbie",32y 326d,175 (77-1-97 44.29%),44 (0.25),1 (0-0-1 0.00%),
Totals,Totals,27y 34d,2793 (1566-43-1184 56.07%),2231 (0.80),,
C,"Hardwick, Damien",49y 211d,275 (154-4-117 56.73%),,←,
