Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Bayes, Mark",11,4,2,13,,,,1.0,,,,,2.0,1.0,,,,,,,,,
13,"Brunton, Neil",12,1,5,17,,1.0,,5.0,,,,,2.0,1.0,,,,,,,,,
26,"Caven, Peter",6,1,2,8,1,,,,,,,,2.0,1.0,,,,,,,,,
28,"Cresswell, Daryn",8,3,5,13,,,,1.0,,,,,1.0,3.0,,,,,,,,,
5,"Daniels, Jayson",4,2,7,11,,,,2.0,,,,,,1.0,,,,,,,,,
6,"Dunkley, Andrew",1,1,1,2,,,,1.0,,,,,1.0,,,,,,,,,,
37,"Filandia, Peter",11,1,5,16,1,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,
21,"Hepburn, Mark",9,7,4,13,,,4.0,,,,,,2.0,,,,,,,,,,
11,"Kappler, Darren",14,4,7,21,2,,,,,,,,,2.0,,,,,,,,,
14,"Kelly, Paul",9,2,13,22,1,,,,,,,,,1.0,,,,,,,,,
24,"Kickett, Derek",5,2,1,6,4,,,3.0,,,,,,,,,,,,,,,
31,"Lang, Damian",,,,,,,,,,,,,,,,,,,,,,,
1,"Lawson, Jamie",13,4,10,23,,,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Lewis, Dale",13,4,3,16,1,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
34,"Luff, Troy",6,3,3,9,1,,1.0,,,,,,,1.0,,,,,,,,,
4,"McRae, Dean",12,5,6,18,,1.0,,1.0,,,,,,1.0,,,,,,,,,
8,"Minton-Connell, Simon",2,2,4,6,,2.0,,1.0,,,,,,1.0,,,,,,,,,
17,"Mooney, Jason",4,,1,5,,,,,,,,,1.0,,,,,,,,,,
23,"Neill, Robert",10,6,1,11,,,,2.0,,,,,,,,,,,,,,,
10,"Watters, Scott",9,,12,21,,,,2.0,,,,,1.0,1.0,,,,,,,,,
27,"Wheeler, Sanford",7,,4,11,,,,4.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,166,52,96,262,11,8.0,5.0,28.0,,,,,19.0,18.0,,,,,,,,,
Opposition,Opposition,210,69,133,343,20,14.0,25.0,19.0,,,,,18.0,19.0,6.0,,,,,,,,
