Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",9,2,1,10,2,,9.0,,,,,,1.0,1.0,,,,,,,,,
21,"Bradley, Craig",20,,4,24,,,,3.0,,,,,,1.0,,,,,,,,,
16,"Camporeale, Scott",20,7,3,23,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
34,"De Iulio, Ron",5,2,2,7,,,,,,,,,1.0,1.0,,,,,,,,,
35,"Dean, Peter",18,7,4,22,1,,1.0,4.0,,,,,,,,,,,,,,,
45,"Franchina, Anthony",2,,1,3,,,,1.0,,,,,,,,,,,,,,,
36,"Hamill, Aaron",17,5,6,23,1,,,,,,,,4.0,1.0,,,,,,,,,
9,"Hickmott, Adrian",10,4,6,16,,,,2.0,,,,,1.0,4.0,,,,,,,,,
33,"Hogg, Matthew",10,3,3,13,,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
47,"Hulme, Darren",11,2,13,24,,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,
43,"Koutoufides, Anthony",9,,7,16,,1.0,,,,,,,,,,,,,,,,,
22,"Manton, Glenn",5,4,3,8,,,,1.0,,,,,,2.0,,,,,,,,,
5,"McKay, Andrew",8,,6,14,,,,2.0,,,,,4.0,2.0,,,,,,,,,
18,"Murphy, Justin",4,1,1,5,2,,,,,,,,,,,,,,,,,,
19,"Pearce, Brad",12,4,,12,5,4.0,,1.0,,,,,1.0,,,,,,,,,,
46,"Porter, Mark",5,4,7,12,,1.0,16.0,2.0,,,,,3.0,,,,,,,,,,
7,"Ratten, Brett",20,6,16,36,,,,3.0,,,,,2.0,2.0,3.0,,,,,,,,
23,"Rice, Dean",9,5,4,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
1,"Silvagni, Stephen",5,,2,7,,,,1.0,,,,,,,,,,,,,,,
25,"Smart, Sam",,,,,,,,,,,,,,,,,,,,,,,
8,"Whitnall, Lance",7,3,5,12,,,,1.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,59,94,300,11,10.0,26.0,28.0,,,,,25.0,19.0,5.0,,,,,,,,
Opposition,Opposition,190,47,76,266,5,11.0,22.0,41.0,,,,,19.0,25.0,1.0,,,,,,,,
