Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Ball, Jason",10,4.0,7.0,17,1.0,,24.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5,9.0,,1.0,3.0,,,85.0
21,"Barry, Leo",6,5.0,3.0,9,,,,4.0,3.0,,,2.0,,1.0,,2,8.0,1.0,,1.0,4.0,,100.0
6,"Bolton, Craig",4,2.0,3.0,7,,,,1.0,2.0,1.0,,,,,,2,4.0,,,7.0,2.0,,100.0
24,"Bolton, Jude",12,3.0,10.0,22,,,1.0,5.0,,6.0,5.0,4.0,5.0,1.0,3.0,14,11.0,,,6.0,,1.0,85.0
8,"Cresswell, Daryn",11,7.0,14.0,25,2.0,1.0,,4.0,1.0,3.0,4.0,,1.0,,,9,16.0,,2.0,,,1.0,86.0
28,"Crouch, Jared",7,1.0,2.0,9,,,,2.0,,1.0,2.0,5.0,,5.0,,5,3.0,,,2.0,,,92.0
2,"Davis, Nick",14,6.0,7.0,21,2.0,2.0,,2.0,1.0,4.0,2.0,4.0,,,,6,13.0,,3.0,,,2.0,81.0
12,"Fosdike, Nic",13,4.0,2.0,15,,1.0,,5.0,3.0,3.0,2.0,1.0,,,,3,12.0,,,1.0,,,74.0
37,"Goodes, Adam",11,3.0,2.0,13,1.0,,9.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,4,9.0,1.0,2.0,3.0,,1.0,93.0
1,"Hall, Barry",9,8.0,5.0,14,2.0,,1.0,1.0,,3.0,,3.0,1.0,1.0,,4,9.0,1.0,1.0,1.0,,1.0,100.0
17,"Kennelly, Tadhg",6,2.0,5.0,11,,,,1.0,5.0,1.0,,2.0,1.0,1.0,,7,3.0,,,2.0,,,100.0
31,"Kirk, Brett",9,3.0,10.0,19,1.0,,,7.0,,,5.0,3.0,1.0,3.0,,10,10.0,,,2.0,1.0,,96.0
4,"Mathews, Ben",13,9.0,9.0,22,1.0,,,2.0,2.0,2.0,2.0,1.0,1.0,,,7,16.0,,,,,,81.0
23,"Nicks, Matthew",8,7.0,5.0,13,,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,5,9.0,,2.0,3.0,,3.0,61.0
5,"OKeefe, Ryan",2,,2.0,4,,,,,,2.0,,2.0,,,,3,1.0,,,,,1.0,51.0
19,"OLoughlin, Michael",12,5.0,3.0,15,5.0,1.0,,3.0,,4.0,,,2.0,,,5,9.0,1.0,4.0,1.0,,,95.0
30,"Roberts-Thomson, Lewis",1,1.0,6.0,7,,,1.0,1.0,,2.0,1.0,,,,,3,4.0,,,1.0,,,47.0
22,"Saddington, Jason",10,6.0,6.0,16,,,,1.0,3.0,,2.0,4.0,,2.0,,8,8.0,1.0,,2.0,,,100.0
25,"Schauble, Andrew",9,8.0,4.0,13,,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,4,9.0,,,6.0,,,99.0
36,"Schneider, Adam",8,1.0,1.0,9,2.0,,,2.0,1.0,3.0,,2.0,,1.0,,1,8.0,,,,4.0,,54.0
35,"Sundqvist, Jarrad",1,,,1,,,,,,,,,1.0,,,1,,,,1.0,,,19.0
10,"Williams, Paul",10,,10.0,20,1.0,1.0,,2.0,3.0,3.0,,2.0,3.0,2.0,,5,15.0,,,1.0,6.0,1.0,100.0
Totals,Totals,186,85.0,116.0,302,18.0,7.0,38.0,50.0,32.0,42.0,34.0,41.0,20.0,22.0,6.0,113,186.0,5.0,15.0,43.0,17.0,11.0,
Opposition,Opposition,155,48.0,71.0,226,12.0,12.0,35.0,50.0,23.0,48.0,37.0,41.0,22.0,20.0,,134,86.0,14.0,12.0,40.0,14.0,5.0,
