Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
27,"Armfield, Dennis",24y 128d,48 (24-0-24 50.00%),3 (0.06),←,
19,"Betts, Eddie",24y 154d,126 (45-3-78 36.90%),176 (1.40),←,
44,"Carrazzo, Andrew",27y 135d,128 (47-3-78 37.89%),38 (0.30),←,
35,"Curnow, Ed",21y 173d,6 (4-1-1 75.00%),3 (0.50),←,
34,"Duigan, Nick",26y 234d,6 (4-1-1 75.00%),,←,
46,"Ellard, David",22y 47d,10 (6-0-4 60.00%),5 (0.50),←,
38,"Garlett, Jeff",21y 269d,36 (21-1-14 59.72%),65 (1.81),←,
4,"Gibbs, Bryce",22y 45d,95 (41-1-53 43.68%),42 (0.44),←,
40,"Jamison, Michael",24y 322d,61 (28-1-32 46.72%),,←,
45,"Joseph, Aaron",21y 299d,47 (26-0-21 55.32%),6 (0.13),←,
5,"Judd, Chris",27y 233d,204 (120-3-81 59.56%),182 (0.89),70 (36-1-33 52.14%),44 (0.63)
15,"Laidler, Jeremy",21y 267d,8 (5-1-2 68.75%),1 (0.13),6 (4-1-1 75.00%),1 (0.17)
3,"Murphy, Marc",23y 284d,108 (44-1-63 41.20%),85 (0.79),←,
17,"OhAilpin, Setanta",28y 42d,73 (29-1-43 40.41%),57 (0.78),←,
12,"Robinson, Mitch",21y 326d,32 (18-1-13 57.81%),21 (0.66),←,
2,"Russell, Jordan",24y 174d,99 (41-2-56 42.42%),16 (0.16),←,
29,"Scotland, Heath",30y 282d,205 (79-2-124 39.02%),67 (0.33),152 (56-2-94 37.50%),55 (0.36)
6,"Simpson, Kade",26y 359d,139 (52-2-85 38.13%),84 (0.60),←,
30,"Waite, Jarrad",28y 84d,137 (44-3-90 33.21%),161 (1.18),←,
1,"Walker, Andrew",24y 346d,109 (34-3-72 32.57%),50 (0.46),←,
11,"Warnock, Robert",24y 100d,39 (20-1-18 52.56%),11 (0.28),18 (10-1-7 58.33%),7 (0.39)
43,"White, Simon",22y 316d,11 (8-1-2 77.27%),2 (0.18),←,
Totals,Totals,24y 243d,1727 (740-32-955 42.85%),1075 (0.62),,
C,"Ratten, Brett",39y 292d,80 (38-1-41 48.13%),,←,
