Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Betts, Eddie",8,5,4,12,,2.0,,3.0,,1.0,2.0,1.0,,,,5.0,7.0,,2.0,2.0,,,85.0
44,"Carrazzo, Andrew",13,5,6,19,,,,5.0,,2.0,3.0,,2.0,,,8.0,11.0,1.0,,3.0,,1.0,79.0
35,"Curnow, Ed",8,3,4,12,,,,8.0,,3.0,4.0,1.0,,,,7.0,5.0,1.0,,,,,71.0
34,"Duigan, Nick",6,5,5,11,,,,6.0,3.0,,,3.0,,,,4.0,8.0,1.0,,4.0,,,90.0
46,"Ellard, David",4,,2,6,2,,,7.0,2.0,,,2.0,2.0,1.0,,5.0,3.0,,,1.0,,,55.0
38,"Garlett, Jeff",4,1,4,8,2,,,4.0,,2.0,,1.0,2.0,1.0,,4.0,4.0,,1.0,,,1.0,82.0
4,"Gibbs, Bryce",22,10,8,30,1,1.0,,2.0,5.0,2.0,1.0,,,,1.0,6.0,22.0,,1.0,1.0,4.0,,92.0
22 ↓,"Hampson, Shaun",1,3,7,8,,,17.0,3.0,,,,3.0,,3.0,,5.0,3.0,1.0,,1.0,,,52.0
23,"Henderson, Lachie",3,3,5,8,1,,1.0,2.0,,1.0,,,,,,3.0,5.0,,1.0,,,,91.0
33 ↑,"Houlihan, Ryan",2,,6,8,,,,2.0,,1.0,,,,,,4.0,4.0,,,,,2.0,37.0
40,"Jamison, Michael",12,7,6,18,,,,2.0,3.0,,,,1.0,,,4.0,13.0,1.0,,4.0,1.0,,94.0
5,"Judd, Chris",10,3,13,23,1,,,4.0,2.0,6.0,8.0,3.0,1.0,1.0,,13.0,9.0,,,3.0,,3.0,85.0
8,"Kreuzer, Matthew",13,6,11,24,2,1.0,13.0,7.0,2.0,5.0,4.0,1.0,3.0,1.0,3.0,12.0,12.0,,2.0,6.0,,1.0,85.0
3,"Murphy, Marc",16,4,13,29,2,1.0,,6.0,3.0,1.0,8.0,1.0,6.0,,2.0,16.0,11.0,,,,1.0,,83.0
12,"Robinson, Mitch",15,5,7,22,1,,4.0,5.0,4.0,2.0,7.0,2.0,1.0,1.0,,11.0,12.0,,,,1.0,,86.0
2,"Russell, Jordan",9,5,6,15,,,,5.0,1.0,1.0,,1.0,2.0,,,6.0,11.0,1.0,,3.0,1.0,,92.0
29,"Scotland, Heath",15,5,9,24,,1.0,,3.0,1.0,4.0,2.0,3.0,,,,7.0,17.0,,,1.0,,1.0,96.0
6,"Simpson, Kade",12,5,5,17,,1.0,,5.0,1.0,4.0,,2.0,,1.0,,6.0,12.0,1.0,1.0,2.0,1.0,1.0,86.0
32,"Thornton, Bret",6,4,6,12,,,,4.0,4.0,,,1.0,2.0,1.0,,4.0,9.0,,,9.0,2.0,,96.0
42,"Tuohy, Zach",8,3,3,11,,,,,2.0,,,1.0,,,,4.0,6.0,,,3.0,2.0,,92.0
1,"Walker, Andrew",16,10,3,19,2,1.0,,3.0,,4.0,1.0,,2.0,,,4.0,16.0,,2.0,1.0,2.0,2.0,89.0
13,"Yarran, Chris",13,3,9,22,1,,,2.0,2.0,3.0,,5.0,,1.0,,7.0,15.0,,,,8.0,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,95,142,358,15,10.0,35.0,88.0,35.0,42.0,40.0,31.0,24.0,11.0,6.0,145.0,215.0,7.0,10.0,44.0,23.0,12.0,
Opposition,Opposition,190,87,134,324,10,6.0,45.0,70.0,25.0,46.0,36.0,45.0,11.0,24.0,,152.0,171.0,23.0,17.0,63.0,6.0,7.0,
