Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Casboult, Levi",12,6,2,14,1,1.0,8.0,3.0,,4.0,4.0,2.0,3.0,,,9.0,5.0,2.0,2.0,,,,90.0
46,"Cottrell, Matthew",7,2,2,9,1,,,,2.0,1.0,3.0,3.0,,,,6.0,3.0,1.0,1.0,2.0,,,75.0
9,"Cripps, Patrick",10,4,7,17,1,,,7.0,,4.0,5.0,2.0,4.0,1.0,2.0,10.0,7.0,1.0,,2.0,,,87.0
28,"Cuningham, David",4,1,6,10,,,,3.0,1.0,2.0,2.0,3.0,,2.0,,6.0,5.0,,,2.0,,,77.0
35,"Curnow, Ed",8,3,8,16,,,,5.0,1.0,4.0,4.0,4.0,,1.0,,9.0,6.0,,,2.0,,3.0,84.0
12,"De Koning, Tom",5,2,7,12,,,19.0,3.0,1.0,2.0,4.0,1.0,1.0,,,10.0,3.0,1.0,,3.0,,,70.0
15,"Docherty, Sam",11,1,7,18,,,,1.0,2.0,4.0,2.0,2.0,1.0,,,7.0,8.0,,,,,,90.0
25,"Fisher, Zac",7,2,9,16,1,1.0,,1.0,,3.0,,2.0,,,,9.0,7.0,,,,2.0,1.0,81.0
14,"Jones, Liam",6,2,1,7,,,,2.0,1.0,1.0,,,2.0,,,3.0,4.0,1.0,,9.0,,,93.0
21,"Martin, Jack",9,8,1,10,,,,,,1.0,,3.0,,1.0,,1.0,9.0,,,1.0,,,49.0
11,"McGovern, Mitch",1,,4,5,,,,2.0,,1.0,,,,,,1.0,4.0,,,,,,73.0
10,"McKay, Harry",6,4,1,7,2,2.0,,2.0,,,,2.0,,,,3.0,3.0,1.0,3.0,2.0,,,90.0
3,"Murphy, Marc",11,2,5,16,,2.0,,2.0,,3.0,,2.0,,,,4.0,12.0,,,2.0,3.0,1.0,78.0
32,"Newnes, Jack",7,2,10,17,1,1.0,,2.0,1.0,1.0,,2.0,,2.0,,10.0,6.0,,,,,1.0,93.0
44,"Owies, Matthew",3,1,2,5,,,,1.0,,,,3.0,,2.0,,4.0,2.0,,,1.0,,,68.0
5,"Petrevski-Seton, Sam",18,6,4,22,,,,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,9.0,12.0,,,1.0,,,78.0
20,"Plowman, Lachie",10,4,,10,,,,5.0,1.0,2.0,,,,,,1.0,8.0,1.0,,2.0,,,93.0
43,"Setterfield, Will",10,4,6,16,,,,8.0,,4.0,4.0,1.0,,,,7.0,10.0,,,1.0,,,88.0
6,"Simpson, Kade",14,4,4,18,,,,2.0,4.0,1.0,1.0,2.0,2.0,,,6.0,11.0,,,2.0,,,83.0
18,"Walsh, Sam",20,9,5,25,1,1.0,,3.0,2.0,6.0,2.0,2.0,1.0,1.0,3.0,7.0,19.0,,,1.0,3.0,,89.0
23,"Weitering, Jacob",15,12,1,16,,,,1.0,3.0,4.0,,1.0,2.0,,,6.0,12.0,1.0,,7.0,,,95.0
31,"Williamson, Tom",8,6,5,13,,,,,2.0,,,4.0,1.0,1.0,,4.0,8.0,,,1.0,1.0,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,85,97,299,8,9.0,27.0,56.0,24.0,50.0,32.0,43.0,18.0,12.0,5.0,132.0,164.0,9.0,6.0,41.0,9.0,6.0,
Opposition,Opposition,154,54,91,245,8,4.0,31.0,57.0,41.0,34.0,31.0,38.0,12.0,18.0,1.0,110.0,129.0,9.0,6.0,40.0,2.0,4.0,
