West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Butler, Sam",25y 163d,75 (41-0-34 54.67%),11 (0.15),←,
20,"Cox, Dean",29y 329d,215 (104-1-110 48.60%),110 (0.51),←,
27,"Darling, Jack",19y 13d,13 (9-0-4 69.23%),12 (0.92),←,
5,"Ebert, Brad",21y 85d,66 (20-0-46 30.30%),24 (0.36),←,
32,"Embley, Andrew",29y 364d,219 (105-1-113 48.17%),198 (0.90),←,
23,"Glass, Darren",30y 43d,209 (106-2-101 51.20%),8 (0.04),←,
25,"Hurn, Shannon",23y 295d,86 (39-0-47 45.35%),24 (0.28),←,
17,"Kennedy, Josh",23y 305d,80 (23-1-56 29.38%),129 (1.61),58 (20-0-38 34.48%),118 (2.03)
4,"Kerr, Daniel",28y 41d,180 (94-2-84 52.78%),100 (0.56),←,
2,"LeCras, Mark",24y 300d,88 (38-0-50 43.18%),212 (2.41),←,
21,"Lynch, Quinten",28y 153d,177 (94-0-83 53.11%),235 (1.33),←,
16,"Mackenzie, Eric",23y 38d,46 (12-0-34 26.09%),,←,
9,"Naitanui, Nic",21y 53d,44 (17-0-27 38.64%),19 (0.43),←,
6,"Nicoski, Mark",27y 214d,100 (49-0-51 49.00%),37 (0.37),←,
11,"Priddis, Matt",26y 97d,96 (40-0-56 41.67%),27 (0.28),←,
24,"Rosa, Matt",24y 215d,103 (49-0-54 47.57%),30 (0.29),←,
31,"Schofield, Will",22y 153d,47 (18-0-29 38.30%),4 (0.09),←,
37,"Selwood, Adam",27y 56d,146 (75-0-71 51.37%),40 (0.27),←,
10,"Selwood, Scott",21y 91d,56 (20-0-36 35.71%),10 (0.18),←,
13,"Shuey, Luke",21y 24d,19 (9-0-10 47.37%),19 (1.00),←,
28,"Smith, Ashley",20y 341d,17 (8-0-9 47.06%),5 (0.29),←,
15,"Swift, Tom",20y 355d,26 (10-0-16 38.46%),6 (0.23),←,
Totals,Totals,24y 219d,2108 (980-7-1121 46.49%),1260 (0.60),,
C,"Worsfold, John",42y 274d,223 (115-2-106 52.02%),,←,
