Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",23y 203d,86 (37-2-47 44.19%),27 (0.31),←,
20,"Black, Simon",30y 64d,243 (144-3-96 59.88%),148 (0.61),←,
36,"Bradshaw, Daniel",30y 197d,212 (119-2-91 56.60%),468 (2.21),209 (116-2-91 55.98%),468 (2.24)
17,"Brennan, Jared",24y 313d,89 (43-2-44 49.44%),63 (0.71),←,
16,"Brown, Jonathan",27y 220d,171 (108-2-61 63.74%),373 (2.18),←,
1,"Clark, Mitch",21y 230d,33 (14-1-18 43.94%),20 (0.61),←,
39,"Drummond, Josh",26y 48d,56 (26-1-29 47.32%),23 (0.41),←,
5,"Harding, Scott",22y 352d,40 (21-2-17 55.00%),12 (0.30),←,
14,"Henderson, Lachie",19y 174d,11 (5-0-6 45.45%),3 (0.27),←,
33,"Hooper, Rhan",21y 148d,43 (20-1-22 47.67%),46 (1.07),←,
4,"Johnstone, Travis",28y 324d,188 (92-1-95 49.20%),131 (0.70),28 (14-0-14 50.00%),20 (0.71)
26,"Macdonald, Joel",24y 239d,69 (38-0-31 55.07%),6 (0.09),←,
9,"McGrath, Ashley",26y 17d,124 (68-1-55 55.24%),102 (0.82),←,
8,"Notting, Tim",30y 228d,201 (117-3-81 58.96%),134 (0.67),←,
31,"Polkinghorne, James",20y 136d,11 (6-0-5 54.55%),6 (0.55),←,
6,"Power, Luke",29y 149d,228 (133-2-93 58.77%),197 (0.86),←,
2,"Proud, Albert",20y 273d,16 (7-0-9 43.75%),2 (0.13),←,
10,"Rich, Daniel",18y 364d,11 (6-0-5 54.55%),5 (0.45),←,
35,"Rischitelli, Michael",23y 149d,76 (34-2-40 46.05%),32 (0.42),←,
3,"Sheldon, Sam",20y 90d,6 (4-0-2 66.67%),,←,
11,"Sherman, Justin",22y 131d,84 (34-2-48 41.67%),59 (0.70),←,
32,"Stiller, Cheynee",23y 34d,55 (22-2-31 41.82%),13 (0.24),←,
Totals,Totals,24y 152d,2053 (1098-29-926 53.48%),1870 (0.91),,
C,"Voss, Michael",33y 334d,11 (6-0-5 54.55%),,←,
