Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",12,2,15,27,,,1.0,3.0,1.0,6.0,7.0,5.0,1.0,1.0,,10.0,18.0,,,1.0,2.0,2.0,88.0
36,"Broughton, Greg",5,6,9,14,,,,3.0,3.0,,,2.0,,1.0,,5.0,9.0,2.0,1.0,2.0,4.0,,88.0
12,"Day, Sam",6,1,1,7,,1.0,5.0,2.0,1.0,3.0,,,2.0,,,4.0,2.0,1.0,,2.0,,,91.0
15,"Gorringe, Daniel",5,3,8,13,,1.0,19.0,3.0,2.0,2.0,3.0,2.0,,,,4.0,8.0,,1.0,1.0,,1.0,86.0
33,"Hall, Aaron",5,4,5,10,1,,,3.0,,1.0,1.0,1.0,1.0,1.0,,3.0,7.0,,1.0,,,,91.0
5,"Harbrow, Jarrod",13,4,4,17,2,,,3.0,3.0,2.0,,5.0,,3.0,,5.0,13.0,1.0,1.0,1.0,3.0,,87.0
28,"Kolodjashnij, Kade",15,8,5,20,,1.0,,4.0,3.0,3.0,2.0,3.0,1.0,,,4.0,15.0,1.0,,9.0,2.0,,89.0
40,"Lemmens, Sean",13,9,9,22,,,,2.0,2.0,2.0,,3.0,,1.0,,2.0,20.0,1.0,,2.0,1.0,,86.0
37,"Lonergan, Jesse",5,3,6,11,,,1.0,7.0,,3.0,3.0,4.0,,1.0,,4.0,8.0,,,1.0,2.0,,78.0
19,"Lynch, Tom",12,9,12,24,1,2.0,,2.0,2.0,2.0,,3.0,,1.0,,15.0,11.0,1.0,2.0,5.0,,1.0,96.0
4,"Martin, Jack",10,6,4,14,1,1.0,,2.0,,1.0,3.0,2.0,1.0,1.0,,6.0,8.0,1.0,2.0,2.0,,,83.0
32 ↑,"Matera, Brandon",10,4,7,17,,,,1.0,2.0,2.0,1.0,3.0,,,,3.0,12.0,,1.0,1.0,,,56.0
17,"May, Steven",8,5,5,13,,,,4.0,3.0,1.0,,2.0,,,,5.0,8.0,,,5.0,,1.0,85.0
18,"McKenzie, Trent",9,1,6,15,,,,,3.0,1.0,1.0,2.0,3.0,,,10.0,5.0,,,4.0,1.0,,55.0
1,"OMeara, Jaeger",15,6,11,26,1,1.0,2.0,5.0,2.0,7.0,4.0,2.0,,,,10.0,16.0,1.0,1.0,3.0,1.0,1.0,85.0
10,"Prestia, Dion",10,3,8,18,,,,2.0,2.0,3.0,3.0,1.0,1.0,,,6.0,10.0,,,1.0,,,87.0
35 ↓,"Rischitelli, Michael",,,3,3,,,,1.0,2.0,,,,,,,1.0,2.0,,,,,,38.0
6,"Sexton, Alex",3,,5,8,,,,1.0,,2.0,,1.0,1.0,,,2.0,6.0,,,4.0,,1.0,81.0
26,"Shaw, Matt",3,4,6,9,,,,2.0,2.0,1.0,1.0,2.0,1.0,,,3.0,7.0,,,1.0,1.0,,90.0
25,"Stanley, Danny",12,7,8,20,1,1.0,1.0,6.0,,1.0,1.0,4.0,,2.0,,8.0,14.0,2.0,1.0,1.0,,,84.0
24,"Swallow, David",12,2,7,19,1,1.0,3.0,10.0,1.0,4.0,5.0,5.0,1.0,1.0,,9.0,9.0,,,2.0,,,83.0
16,"Thompson, Rory",6,5,3,9,,,,1.0,3.0,,,2.0,,1.0,,5.0,4.0,2.0,,6.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,92,147,336,8,10.0,32.0,67.0,37.0,47.0,35.0,54.0,13.0,14.0,,124.0,212.0,13.0,11.0,54.0,17.0,7.0,
Opposition,Opposition,241,111,134,375,14,13.0,54.0,61.0,38.0,55.0,39.0,51.0,14.0,13.0,6.0,145.0,225.0,10.0,15.0,53.0,15.0,9.0,
