Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Banks, Denis",31y 112d,155 (92-1-62 59.68%),109 (0.70),←,
17,"Barwick, Doug",28y 242d,138 (75-2-61 55.07%),207 (1.50),62 (40-2-20 66.13%),79 (1.27)
26,"Brown, Gavin",23y 11d,79 (45-2-32 58.23%),73 (0.92),←,
21,"Christian, Michael",26y 46d,76 (41-1-34 54.61%),15 (0.20),←,
28,"Crosisca, Gavin",22y 21d,72 (45-2-25 63.89%),35 (0.49),←,
35,"Daicos, Peter",29y 16d,207 (120-3-84 58.70%),411 (1.99),←,
2,"Francis, Tony",21y 188d,16 (11-1-4 71.88%),15 (0.94),←,
3,"Gayfer, Michael",25y 50d,91 (54-1-36 59.89%),1 (0.01),←,
23,"Kelly, Craig",24y 112d,40 (24-1-15 61.25%),18 (0.45),←,
44,"Kerrison, Shane",25y 192d,85 (48-1-36 57.06%),9 (0.11),←,
30,"Manson, James",23y 338d,88 (51-2-35 59.09%),76 (0.86),←,
34,"McGuane, Mick",22y 281d,65 (40-2-23 63.08%),28 (0.43),←,
42,"Millane, Darren",25y 58d,129 (73-2-54 57.36%),64 (0.50),←,
1,"Monkhorst, Damian",21y 46d,40 (27-1-12 68.75%),4 (0.10),←,
7,"Morwood, Shane",28y 309d,162 (97-2-63 60.49%),81 (0.50),145 (88-2-55 61.38%),68 (0.47)
29,"Russell, Scott",20y 152d,26 (19-1-6 75.00%),16 (0.62),←,
22,"Shaw, Tony",30y 75d,246 (140-2-104 57.32%),140 (0.57),←,
27,"Starcevich, Craig",23y 143d,64 (37-2-25 59.38%),91 (1.42),←,
24,"Turner, Jamie",28y 55d,127 (72-2-53 57.48%),25 (0.20),←,
19,"Wright, Graham",22y 122d,63 (41-2-20 66.67%),66 (1.05),←,
Totals,Totals,25y 55d,1969 (1152-33-784 58.51%),1484 (0.75),,
C,"Matthews, Leigh",38y 219d,114 (66-2-46 58.77%),,←,
