Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",25y 199d,116 (67-3-46 59.05%),97 (0.84),←,
21,"Christian, Michael",28y 234d,103 (56-2-45 55.34%),21 (0.20),←,
35,"Daicos, Peter",31y 204d,248 (147-4-97 60.08%),549 (2.21),←,
2,"Francis, Tony",24y 11d,61 (40-2-19 67.21%),43 (0.70),←,
47,"Fraser, Mark",22y 67d,17 (13-0-4 76.47%),9 (0.53),←,
34,"McGuane, Mick",25y 104d,96 (61-2-33 64.58%),62 (0.65),←,
6,"Mitchell, Barry",27y 126d,173 (73-2-98 42.77%),215 (1.24),3 (3-0-0 100.00%),1 (0.33)
1,"Monkhorst, Damian",23y 234d,79 (53-2-24 68.35%),12 (0.15),←,
7,"Morwood, Shane",31y 132d,198 (119-3-76 60.86%),117 (0.59),181 (110-3-68 61.60%),104 (0.57)
4,"Pert, Gary",27y 319d,189 (96-0-93 50.79%),45 (0.24),26 (19-0-7 73.08%),3 (0.12)
13,"Richardson, Alan",27y 330d,60 (38-2-20 65.00%),10 (0.17),←,
36,"Rocca, Saverio",19y 143d,13 (11-0-2 84.62%),41 (3.15),←,
29,"Russell, Scott",22y 340d,74 (50-2-22 68.92%),50 (0.68),←,
45,"Sandford, Glenn",21y 204d,2 (2-0-0 100.00%),1 (0.50),←,
31,"Saunders, Darren",27y 239d,40 (25-0-15 62.50%),1 (0.03),34 (22-0-12 64.71%),1 (0.03)
27,"Starcevich, Craig",25y 331d,110 (68-3-39 63.18%),142 (1.29),←,
24,"Turner, Jamie",30y 243d,158 (91-3-64 58.54%),33 (0.21),←,
14,"Watson, Shane",19y 54d,14 (9-0-5 64.29%),22 (1.57),←,
10,"Williams, Paul",20y 9d,35 (23-0-12 65.71%),37 (1.06),←,
19,"Wright, Graham",24y 310d,98 (67-2-29 69.39%),81 (0.83),←,
Totals,Totals,25y 137d,1884 (1109-32-743 58.86%),1588 (0.84),,
C,"Matthews, Leigh",41y 42d,162 (97-3-62 60.80%),,←,
