Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Buckley, Nathan",13,7,6,19,3,2.0,,1.0,,2.0,1.0,4.0,1.0,3.0,,9.0,10.0,1.0,3.0,,1.0,1.0,81.0
17,"Burns, Scott",8,4,7,15,,,,2.0,,2.0,3.0,2.0,1.0,,,8.0,7.0,,1.0,,,,55.0
8,"Clement, James",9,4,5,14,1,,,3.0,3.0,1.0,,2.0,,,,6.0,7.0,,,3.0,,,100.0
32,"Cloke, Travis",8,5,1,9,1,,,,,,,,,,,2.0,7.0,,,1.0,,,66.0
1,"Davis, Leon",5,4,1,6,,,,2.0,1.0,4.0,,2.0,,,,1.0,5.0,,,1.0,,1.0,58.0
4,"Didak, Alan",18,9,1,19,4,,,2.0,,7.0,,6.0,3.0,1.0,2.0,7.0,13.0,2.0,3.0,1.0,,1.0,88.0
25,"Fraser, Josh",9,7,6,15,,1.0,19.0,5.0,1.0,3.0,3.0,1.0,1.0,,,6.0,9.0,,1.0,2.0,3.0,,81.0
6,"Holland, Brodie",13,4,5,18,1,,,2.0,3.0,5.0,3.0,4.0,2.0,,,9.0,9.0,2.0,,1.0,2.0,1.0,67.0
26,"Johnson, Ben",19,10,11,30,,,,2.0,2.0,8.0,1.0,4.0,,,3.0,5.0,25.0,,,,2.0,2.0,100.0
18,"Licuria, Paul",14,7,9,23,1,1.0,,2.0,1.0,3.0,2.0,3.0,1.0,1.0,,6.0,17.0,,2.0,1.0,1.0,,60.0
24,"Lockyer, Tarkyn",16,8,4,20,,,,2.0,6.0,,,1.0,,,,3.0,17.0,,,2.0,2.0,,100.0
3,"Lonie, Ryan",11,5,7,18,1,2.0,1.0,2.0,2.0,4.0,1.0,2.0,,,,2.0,16.0,,1.0,3.0,,,100.0
43,"Lumumba, Heritier",9,6,8,17,,,,2.0,1.0,2.0,,3.0,1.0,2.0,,5.0,13.0,,,1.0,1.0,,100.0
27,"Maxwell, Nick",6,3,5,11,,,1.0,3.0,3.0,,2.0,2.0,,1.0,,4.0,7.0,1.0,,9.0,,,100.0
11,"OBree, Shane",10,3,10,20,,,,5.0,2.0,3.0,7.0,2.0,,,,11.0,8.0,,,,1.0,,66.0
35,"Prestigiacomo, Simon",3,,4,7,,,,2.0,3.0,,2.0,1.0,2.0,,,4.0,3.0,,,9.0,,,100.0
21,"Richards, Guy",4,4,3,7,,,9.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,4.0,,,,,,43.0
23,"Rocca, Anthony",9,6,5,14,1,3.0,1.0,3.0,,1.0,,,,,,10.0,4.0,3.0,4.0,2.0,,,95.0
39,"Shaw, Heath",21,15,4,25,,,,2.0,4.0,3.0,,2.0,,1.0,,1.0,23.0,,,1.0,2.0,,100.0
36,"Swan, Dane",15,6,8,23,,,,1.0,2.0,3.0,4.0,1.0,1.0,,,9.0,13.0,,,3.0,,1.0,67.0
20,"Tarrant, Chris",11,7,5,16,,4.0,2.0,3.0,,3.0,1.0,2.0,3.0,1.0,,9.0,7.0,1.0,4.0,4.0,1.0,1.0,98.0
13,"Thomas, Dale",8,5,4,12,2,1.0,,1.0,,1.0,,1.0,,1.0,,2.0,10.0,1.0,2.0,1.0,1.0,1.0,76.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,239,129,119,358,15,16.0,33.0,48.0,35.0,56.0,31.0,46.0,16.0,11.0,5.0,122.0,234.0,11.0,21.0,45.0,17.0,9.0,
Opposition,Opposition,205,119,137,342,12,17.0,31.0,50.0,39.0,49.0,33.0,49.0,11.0,16.0,1.0,117.0,223.0,13.0,11.0,39.0,11.0,5.0,
