Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
17,"Beams, Dayne",20y 182d,37 (26-1-10 71.62%),38 (1.03),←,
47,"Blair, Jarryd",20y 121d,6 (6-0-0 100.00%),4 (0.67),←,
15,"Brown, Leigh",28y 171d,218 (106-2-110 49.08%),110 (0.50),37 (28-1-8 77.03%),26 (0.70)
16,"Brown, Nathan",21y 239d,44 (26-0-18 59.09%),6 (0.14),←,
32,"Cloke, Travis",23y 161d,118 (70-1-47 59.75%),147 (1.25),←,
31,"Dawes, Chris",22y 89d,24 (20-0-4 83.33%),35 (1.46),←,
4,"Didak, Alan",27y 179d,177 (106-0-71 59.89%),249 (1.41),←,
26,"Johnson, Ben",29y 130d,203 (114-0-89 56.16%),60 (0.30),←,
18,"Jolly, Darren",28y 280d,186 (102-3-81 55.65%),89 (0.48),20 (16-1-3 82.50%),19 (0.95)
24,"Lockyer, Tarkyn",30y 287d,227 (117-1-109 51.76%),149 (0.66),←,
8,"Lumumba, Heritier",23y 271d,105 (66-1-38 63.33%),12 (0.11),←,
30,"Macaffer, Brent",22y 166d,20 (13-1-6 67.50%),16 (0.80),←,
5,"Maxwell, Nick",27y 71d,134 (78-1-55 58.58%),26 (0.19),←,
7,"Medhurst, Paul",28y 245d,168 (93-1-74 55.65%),274 (1.63),69 (43-1-25 63.04%),108 (1.57)
10,"Pendlebury, Scott",22y 218d,96 (60-1-35 63.02%),56 (0.58),←,
35,"Prestigiacomo, Simon",32y 194d,233 (109-1-123 47.00%),3 (0.01),←,
39,"Shaw, Heath",24y 259d,109 (66-1-42 61.01%),24 (0.22),←,
22,"Sidebottom, Steele",19y 223d,30 (22-1-7 75.00%),19 (0.63),←,
36,"Swan, Dane",26y 169d,145 (84-1-60 58.28%),94 (0.65),←,
13,"Thomas, Dale",23y 53d,105 (66-1-38 63.33%),80 (0.76),←,
34,"Toovey, Alan",23y 143d,61 (42-1-18 69.67%),8 (0.13),←,
21,"Wellingham, Sharrod",22y 37d,46 (32-1-13 70.65%),21 (0.46),←,
Totals,Totals,24y 359d,2492 (1424-20-1048 57.14%),1520 (0.61),,
C,"Malthouse, Mick",56y 361d,633 (360-5-268 57.27%),,255 (137-1-117 53.92%),
