Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Betheras, Rupert",5,4,5,10,,,,2.0,,,,1.0,1.0,1.0,,3.0,6.0,,,1.0,1.0,,
5,"Buckley, Nathan",18,6,9,27,2,,,2.0,3.0,7.0,6.0,4.0,2.0,,2.0,11.0,16.0,,2.0,4.0,1.0,,
8,"Clement, James",10,6,3,13,3,,,1.0,,1.0,,,2.0,,,4.0,9.0,1.0,2.0,1.0,,,
19,"Davis, Nick",7,8,6,13,2,,,3.0,1.0,2.0,1.0,1.0,,,,2.0,11.0,,1.0,1.0,3.0,,
31,"Dimattina, Andrew",9,5,3,12,,,,,3.0,2.0,,,1.0,,,6.0,5.0,1.0,,4.0,,,
25,"Fraser, Josh",10,4,3,13,1,3.0,4.0,,,2.0,2.0,,1.0,2.0,,7.0,6.0,,1.0,1.0,,,
9,"Freeborn, Glenn",11,6,7,18,1,1.0,,4.0,,8.0,6.0,,1.0,,,6.0,12.0,,,,3.0,,
6,"Holland, Brodie",12,3,4,16,1,,,,2.0,7.0,1.0,1.0,,,,4.0,12.0,,,1.0,,,
26,"Johnson, Ben",15,9,3,18,1,1.0,,1.0,3.0,4.0,1.0,,,,,,18.0,,,,1.0,,
18,"Licuria, Paul",7,3,5,12,1,,,2.0,1.0,3.0,,,1.0,2.0,,4.0,9.0,,,1.0,1.0,,
24,"Lockyer, Tarkyn",13,7,8,21,1,,,,4.0,4.0,2.0,3.0,,,,4.0,16.0,,2.0,5.0,2.0,,
37,"Lonie, Ryan",11,5,4,15,1,,,1.0,5.0,2.0,,,,2.0,,2.0,13.0,1.0,,2.0,3.0,,
12,"McKee, Steven",1,1,8,9,,,12.0,,1.0,1.0,1.0,1.0,,1.0,,7.0,2.0,,,2.0,,,
7,"Molloy, Jarrod",16,11,4,20,2,3.0,,4.0,,3.0,,1.0,,2.0,1.0,10.0,10.0,3.0,6.0,2.0,,,
11,"OBree, Shane",20,7,4,24,,1.0,,,1.0,8.0,4.0,2.0,1.0,1.0,,6.0,18.0,,1.0,1.0,4.0,,
35,"Prestigiacomo, Simon",4,1,1,5,,,,1.0,1.0,,,2.0,1.0,,,4.0,1.0,,,1.0,,,
3,"Richardson, Mark",9,5,6,15,,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,7.0,8.0,1.0,,2.0,,,
38,"Rintoul, Chad",21,11,9,30,1,,,1.0,1.0,3.0,,4.0,,,3.0,6.0,23.0,1.0,1.0,1.0,2.0,,
23,"Rocca, Anthony",7,3,9,16,1,1.0,7.0,1.0,,3.0,4.0,1.0,1.0,3.0,,10.0,7.0,1.0,2.0,5.0,,,
15,"Steinfort, Carl",5,4,5,10,,,,3.0,,,,,,2.0,,4.0,6.0,1.0,,3.0,,,
20,"Tarrant, Chris",11,9,1,12,5,1.0,,1.0,,2.0,,2.0,,1.0,,3.0,8.0,2.0,5.0,1.0,,,
14,"Wakelin, Shane",8,1,4,12,,,,1.0,4.0,1.0,,1.0,3.0,,,7.0,3.0,,,3.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,230,119,111,341,23,15.0,26.0,29.0,32.0,65.0,29.0,25.0,16.0,18.0,6.0,117.0,219.0,12.0,23.0,42.0,21.0,,
Opposition,Opposition,162,77,122,284,12,9.0,24.0,26.0,30.0,46.0,38.0,30.0,18.0,16.0,,104.0,182.0,12.0,13.0,16.0,4.0,,
