Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 133d,181 (104-0-77 57.46%),161 (0.89),58 (20-0-38 34.48%),41 (0.71)
9,"Carr, Matthew",24y 195d,84 (26-1-57 31.55%),35 (0.42),56 (19-0-37 33.93%),33 (0.59)
10,"Cook, Troy",26y 334d,124 (52-0-72 41.94%),55 (0.44),81 (28-0-53 34.57%),44 (0.54)
33,"Farmer, Jeff",26y 18d,150 (67-0-83 44.67%),304 (2.03),32 (15-0-17 46.88%),45 (1.41)
14,"Grover, Antoni",23y 123d,54 (20-0-34 37.04%),6 (0.11),←,
42,"Haddrill, Robert",22y 165d,23 (11-0-12 47.83%),,←,
4,"Hasleby, Paul",22y 30d,78 (27-0-51 34.62%),60 (0.77),←,
43,"Hayden, Roger",22y 215d,18 (10-0-8 55.56%),,←,
11,"Headland, Des",22y 172d,66 (48-0-18 72.73%),64 (0.97),14 (8-0-6 57.14%),12 (0.86)
28,"Koops, Steven",24y 353d,77 (31-0-46 40.26%),49 (0.64),←,
20,"Longmuir, Justin",22y 172d,71 (24-0-47 33.80%),96 (1.35),←,
8,"McManus, Shaun",27y 153d,138 (46-0-92 33.33%),66 (0.48),←,
18,"McPharlin, Luke",21y 223d,27 (14-0-13 51.85%),10 (0.37),15 (6-0-9 40.00%),7 (0.47)
34,"Medhurst, Paul",21y 213d,35 (17-0-18 48.57%),64 (1.83),←,
23,"Parker, Shane",30y 144d,155 (51-0-104 32.90%),9 (0.06),←,
29,"Pavlich, Matthew",21y 193d,76 (26-0-50 34.21%),77 (1.01),←,
12,"Polak, Graham",19y 26d,20 (12-0-8 60.00%),,←,
31,"Sandilands, Aaron",20y 218d,12 (8-0-4 66.67%),4 (0.33),←,
3,"Schammer, Byron",18y 21d,11 (7-0-4 63.64%),2 (0.18),←,
2,"Simmonds, Troy",24y 364d,74 (36-0-38 48.65%),24 (0.32),34 (16-0-18 47.06%),17 (0.50)
19,"Walker, James",24y 178d,90 (30-0-60 33.33%),9 (0.10),←,
6,"Woods, Dion",21y 168d,31 (13-0-18 41.94%),4 (0.13),←,
Totals,Totals,23y 173d,1595 (680-1-914 42.63%),1099 (0.69),,
C,"Connolly, Chris",40y 109d,38 (19-0-19 50.00%),,37 (18-0-19 48.65%),
