Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",13,7,10,23,2,1.0,,9.0,,4.0,7.0,4.0,2.0,2.0,,12.0,13.0,1.0,3.0,1.0,,2.0,73.0
46,"Cox, Mason",6,5,2,8,1,1.0,32.0,,,1.0,1.0,1.0,,,,8.0,2.0,4.0,3.0,4.0,,,81.0
25,"Crisp, Jack",13,4,12,25,1,,,6.0,1.0,5.0,3.0,3.0,,1.0,,7.0,17.0,,,1.0,,1.0,74.0
7,"Daicos, Josh",16,6,15,31,1,,,4.0,1.0,5.0,7.0,3.0,2.0,,2.0,12.0,19.0,,,1.0,,1.0,90.0
35,"Daicos, Nick",18,5,18,36,1,2.0,,4.0,,7.0,7.0,2.0,3.0,,3.0,11.0,23.0,,,1.0,1.0,2.0,85.0
2,"de Goey, Jordan",13,8,13,26,,,,2.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,9.0,18.0,,,,,1.0,85.0
5,"Elliott, Jamie",5,4,5,10,4,,,1.0,,,,3.0,,1.0,,6.0,4.0,1.0,3.0,2.0,,2.0,80.0
17,"Frampton, Billy",1,1,2,3,1,,8.0,,1.0,,1.0,2.0,,2.0,,2.0,2.0,,1.0,2.0,,,57.0
23,"Hill, Bobby",1,,2,3,1,,,2.0,,1.0,,3.0,,2.0,,2.0,1.0,,,2.0,,,83.0
38,"Howe, Jeremy",12,6,5,17,,,,3.0,3.0,2.0,,2.0,,1.0,,,15.0,,,4.0,,,87.0
40,"Johnson, Ash",6,3,1,7,3,,,1.0,,1.0,,1.0,,,,2.0,4.0,1.0,3.0,,,1.0,70.0
1,"Lipinski, Patrick",6,3,8,14,,,,9.0,,2.0,,3.0,,1.0,,4.0,9.0,,,1.0,,,85.0
37,"Markov, Oleg",9,6,6,15,,,,1.0,3.0,3.0,,2.0,1.0,,,5.0,10.0,,,,5.0,1.0,80.0
4,"Maynard, Brayden",15,6,5,20,,,,8.0,3.0,1.0,,4.0,2.0,2.0,,4.0,14.0,1.0,,3.0,,,81.0
31,"McCreery, Beau",3,1,5,8,,,,6.0,,2.0,,1.0,,,,4.0,3.0,,,,,,82.0
11,"McStay, Daniel",6,4,1,7,2,,2.0,4.0,,3.0,,2.0,,,,2.0,5.0,1.0,2.0,2.0,,,89.0
6 ↑,"Mitchell, Tom",5,,9,14,,,,7.0,,1.0,6.0,1.0,2.0,1.0,,12.0,4.0,,,,,,44.0
30,"Moore, Darcy",15,8,4,19,,,,1.0,3.0,1.0,,,4.0,,,9.0,8.0,4.0,,2.0,3.0,,86.0
28,"Murphy, Nathan",6,3,3,9,,,,1.0,,,,,1.0,,,6.0,3.0,1.0,,6.0,,,100.0
9,"Noble, John",11,8,9,20,,,,2.0,3.0,1.0,,6.0,,1.0,,2.0,17.0,,,1.0,,,85.0
10 ↓,"Pendlebury, Scott",7,2,7,14,1,,,5.0,,1.0,2.0,1.0,1.0,,,4.0,7.0,,,1.0,,,45.0
3,"Quaynor, Isaac",13,5,9,22,,,,2.0,3.0,5.0,,3.0,1.0,,,6.0,13.0,2.0,,3.0,,1.0,81.0
22,"Sidebottom, Steele",7,1,11,18,,,,2.0,2.0,3.0,2.0,2.0,,,,6.0,11.0,,,1.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,96,162,369,18,5.0,42.0,80.0,24.0,53.0,40.0,51.0,20.0,15.0,6.0,135.0,222.0,16.0,15.0,38.0,9.0,12.0,
Opposition,Opposition,175,65,152,327,10,7.0,51.0,79.0,34.0,35.0,46.0,47.0,15.0,20.0,,134.0,200.0,5.0,12.0,47.0,1.0,10.0,
