Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
5,"Ablett, Gary",31y 296d,180 (100-1-79 55.83%),685 (3.81),174 (95-1-78 54.89%),675 (3.88)
3,"Bairstow, Mark",30y,123 (73-1-49 59.76%),153 (1.24),←,
6,"Barnes, John",24y 53d,39 (19-1-19 50.00%),21 (0.54),27 (13-0-14 48.15%),9 (0.33)
27,"Bews, Andrew",29y 5d,203 (106-1-96 52.46%),132 (0.65),←,
40,"Brown, Paul",24y 79d,43 (27-0-16 62.79%),49 (1.14),←,
35,"Colbert, Leigh",18y 47d,3 (2-0-1 66.67%),,←,
7,"Couch, Paul",29y 5d,180 (101-0-79 56.11%),149 (0.83),←,
14,"Handley, Steven",23y 1d,33 (21-0-12 63.64%),16 (0.48),←,
42,"Hickmott, Adrian",21y 116d,10 (6-0-4 60.00%),5 (0.50),←,
29,"Hinkley, Ken",26y 297d,89 (49-0-40 55.06%),62 (0.70),78 (45-0-33 57.69%),41 (0.53)
32,"Hocking, Garry",24y 289d,116 (65-1-50 56.47%),113 (0.97),←,
1,"Hocking, Steve",28y 187d,173 (92-0-81 53.18%),10 (0.06),←,
17,"McGrath, Tim",22y 290d,49 (30-0-19 61.22%),,42 (26-0-16 61.90%),
20,"OReilly, Stephen",20y 257d,9 (4-0-5 44.44%),5 (0.56),←,
23,"Pickering, Liam",24y 318d,34 (16-0-18 47.06%),14 (0.41),12 (7-0-5 58.33%),6 (0.50)
24,"Poole, Trevor",29y 92d,149 (60-0-89 40.27%),90 (0.60),50 (30-0-20 60.00%),34 (0.68)
15,"Riccardi, Peter",20y 219d,33 (21-0-12 63.64%),26 (0.79),←,
8,"Scott, Robert",24y 145d,119 (66-1-52 55.88%),154 (1.29),←,
25,"Steele, Darren",27y 102d,130 (54-1-75 41.92%),35 (0.27),11 (6-0-5 54.55%),4 (0.36)
11,"Tudor, Leigh",23y 302d,17 (7-0-10 41.18%),13 (0.76),9 (4-0-5 44.44%),7 (0.78)
Totals,Totals,25y 82d,1732 (919-7-806 53.06%),1732 (1.00),,
C,"Blight, Malcolm",43y 158d,131 (75-0-56 57.25%),,115 (69-0-46 60.00%),
