Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartel, Jimmy",17,5,10,27,,1.0,,1.0,1.0,3.0,3.0,4.0,2.0,,,7.0,20.0,,,2.0,,1.0,93.0
46 ↑,"Blicavs, Mark",5,4,1,6,,2.0,2.0,,,,,1.0,,,,1.0,5.0,,2.0,,,,38.0
1 ↓,"Brown, Mitch",6,3,4,10,,2.0,,1.0,,1.0,,1.0,,,,5.0,3.0,1.0,1.0,,,,56.0
31,"Burbury, George",7,3,5,12,,1.0,,5.0,1.0,4.0,,2.0,,,,4.0,8.0,,,,,,86.0
23,"Caddy, Josh",8,3,8,16,,1.0,,4.0,1.0,3.0,3.0,6.0,,1.0,,7.0,10.0,,,1.0,,,75.0
22,"Duncan, Mitch",17,6,13,30,,1.0,,2.0,5.0,3.0,1.0,2.0,1.0,,3.0,12.0,18.0,,1.0,1.0,,1.0,92.0
29,"Guthrie, Cameron",8,4,10,18,1,,,6.0,1.0,2.0,2.0,3.0,1.0,1.0,,5.0,13.0,1.0,,2.0,,1.0,86.0
26,"Hawkins, Tom",9,5,2,11,4,2.0,,1.0,,2.0,,2.0,1.0,1.0,,6.0,6.0,1.0,4.0,2.0,,1.0,97.0
33,"Horlin-Smith, George",10,7,12,22,1,,,1.0,,2.0,5.0,5.0,,3.0,,12.0,10.0,2.0,2.0,,,1.0,69.0
20,"Johnson, Steve",10,3,10,20,1,1.0,,1.0,,5.0,3.0,6.0,2.0,1.0,,11.0,8.0,1.0,1.0,2.0,,1.0,89.0
9,"Kelly, James",15,6,7,22,,,,3.0,2.0,4.0,,3.0,,1.0,,5.0,15.0,,,,,,94.0
13,"Lonergan, Tom",8,4,2,10,,,,2.0,1.0,1.0,,2.0,,,,3.0,8.0,1.0,,13.0,,,89.0
4,"Mackie, Andrew",15,6,5,20,1,,,3.0,4.0,2.0,,3.0,2.0,,,6.0,13.0,1.0,,,,,92.0
17,"McIntosh, Hamish",10,5,6,16,1,,12.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,,7.0,8.0,1.0,1.0,1.0,,2.0,75.0
21,"Murdoch, Jordan",7,4,4,11,1,1.0,,4.0,,1.0,1.0,1.0,,,,4.0,7.0,,2.0,1.0,,1.0,86.0
25,"Rivers, Jared",4,4,8,12,,,,1.0,,1.0,,1.0,1.0,1.0,,7.0,6.0,,,3.0,,,85.0
14,"Selwood, Joel",8,2,22,30,,1.0,,11.0,1.0,2.0,8.0,3.0,3.0,2.0,2.0,15.0,18.0,,,3.0,,,86.0
38,"Sheringham, Jackson",7,4,8,15,,,,4.0,,3.0,1.0,1.0,,,,4.0,11.0,,1.0,3.0,,,82.0
16,"Simpson, Dawson",1,,6,7,,,20.0,4.0,,2.0,2.0,1.0,1.0,1.0,,3.0,5.0,,,1.0,,,71.0
27,"Stokes, Mathew",19,5,10,29,1,,,2.0,2.0,4.0,1.0,1.0,,,,3.0,23.0,,,1.0,,,86.0
7,"Taylor, Harry",10,7,4,14,,,,4.0,3.0,3.0,,,,,,7.0,10.0,,,8.0,,,93.0
5,"Varcoe, Travis",5,3,8,13,1,,,4.0,,4.0,1.0,2.0,,1.0,,4.0,9.0,,,3.0,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,93,165,371,12,15.0,34.0,65.0,24.0,56.0,33.0,53.0,15.0,14.0,5.0,138.0,234.0,9.0,15.0,47.0,,9.0,
Opposition,Opposition,220,101,122,342,11,10.0,31.0,55.0,40.0,42.0,32.0,52.0,14.0,15.0,1.0,129.0,207.0,4.0,14.0,53.0,8.0,6.0,
