Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
3,"Bartel, Jimmy",30y 122d,252 (178-2-72 71.03%),170 (0.67),←,
46,"Blicavs, Mark",23y 8d,25 (19-0-6 76.00%),7 (0.28),←,
1,"Brown, Mitch",23y 220d,13 (12-0-1 92.31%),8 (0.62),←,
31,"Burbury, George",21y 293d,3 (3-0-0 100.00%),2 (0.67),←,
23,"Caddy, Josh",21y 189d,45 (19-0-26 42.22%),29 (0.64),21 (16-0-5 76.19%),12 (0.57)
22,"Duncan, Mitch",22y 299d,79 (62-0-17 78.48%),66 (0.84),←,
29,"Guthrie, Cameron",21y 229d,43 (31-0-12 72.09%),7 (0.16),←,
26,"Hawkins, Tom",25y 258d,126 (100-0-26 79.37%),225 (1.79),←,
33,"Horlin-Smith, George",21y 104d,13 (11-0-2 84.62%),8 (0.62),←,
20,"Johnson, Steve",30y 275d,218 (158-2-58 72.94%),407 (1.87),←,
9,"Kelly, James",30y 97d,236 (162-1-73 68.86%),87 (0.37),←,
13,"Lonergan, Tom",29y 323d,125 (94-1-30 75.60%),51 (0.41),←,
4,"Mackie, Andrew",29y 241d,201 (155-0-46 77.11%),86 (0.43),←,
17,"McIntosh, Hamish",29y 213d,110 (49-2-59 45.45%),61 (0.55),3 (3-0-0 100.00%),2 (0.67)
21,"Murdoch, Jordan",22y 13d,22 (17-0-5 77.27%),19 (0.86),←,
25,"Rivers, Jared",29y 169d,162 (64-3-95 40.43%),18 (0.11),12 (10-0-2 83.33%),
14,"Selwood, Joel",25y 314d,163 (133-0-30 81.60%),94 (0.58),←,
38,"Sheringham, Jackson",25y 287d,6 (4-0-2 66.67%),1 (0.17),←,
16,"Simpson, Dawson",25y 47d,14 (10-0-4 71.43%),2 (0.14),←,
27,"Stokes, Mathew",29y 134d,158 (125-0-33 79.11%),194 (1.23),←,
7,"Taylor, Harry",27y 297d,139 (110-0-29 79.14%),38 (0.27),←,
5,"Varcoe, Travis",25y 360d,118 (101-0-17 85.59%),124 (1.05),←,
Totals,Totals,26y 22d,2271 (1617-11-643 71.20%),1704 (0.75),,
C,"Scott, Chris",37y 337d,76 (59-0-17 77.63%),,←,
