Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",13,6,12,25,,,,12.0,3.0,2.0,7.0,4.0,1.0,2.0,,11.0,13.0,,,2.0,1.0,,82.0
31,"Appleby, Flynn",12,6,3,15,,,,1.0,1.0,,,2.0,1.0,,,3.0,13.0,,,4.0,,,82.0
17,"Brown, Callum",5,1,9,14,,1.0,,,,1.0,,6.0,,2.0,,6.0,8.0,,1.0,1.0,,,90.0
46,"Cox, Mason",2,3,7,9,,,8.0,3.0,,1.0,,3.0,2.0,2.0,,7.0,3.0,3.0,1.0,4.0,,,93.0
25,"Crisp, Jack",20,7,12,32,,1.0,,11.0,2.0,4.0,4.0,6.0,3.0,2.0,,11.0,21.0,,,3.0,3.0,1.0,89.0
39,"Crocker, Ben",8,3,3,11,,,,,,4.0,1.0,4.0,,3.0,,5.0,6.0,1.0,2.0,,,,86.0
2,"de Goey, Jordan",13,7,9,22,1,1.0,,2.0,1.0,5.0,3.0,3.0,1.0,1.0,,9.0,14.0,1.0,1.0,,,,79.0
15,"Dunn, Lynden",7,2,2,9,,,,5.0,3.0,1.0,,3.0,,1.0,,2.0,6.0,1.0,,8.0,,,92.0
4,"Grundy, Brodie",9,5,10,19,1,,42.0,5.0,1.0,2.0,2.0,4.0,1.0,1.0,,14.0,9.0,1.0,,4.0,1.0,,90.0
32,"Hoskin-Elliott, Will",10,5,6,16,1,1.0,,1.0,,4.0,,2.0,,,,4.0,11.0,,,2.0,1.0,1.0,97.0
38,"Howe, Jeremy",19,11,11,30,,1.0,,3.0,7.0,,,3.0,1.0,1.0,,4.0,26.0,,,8.0,,,98.0
16,"Mayne, Chris",10,10,15,25,,1.0,,9.0,1.0,,3.0,1.0,1.0,,,8.0,16.0,,,2.0,,,89.0
30,"Moore, Darcy",2,3,1,3,,,,,1.0,1.0,,,,,,,4.0,,,,,,17.0
9,"Murray, Sam",12,5,7,19,,,,2.0,3.0,2.0,,4.0,2.0,,,3.0,17.0,,,3.0,2.0,,81.0
21,"Phillips, Tom",7,1,4,11,2,,,1.0,,1.0,,,1.0,,,3.0,8.0,,,2.0,,,45.0
12,"Scharenberg, Matt",14,14,15,29,,,,5.0,7.0,2.0,,2.0,1.0,1.0,2.0,9.0,19.0,2.0,,8.0,,,89.0
22,"Sidebottom, Steele",10,6,20,30,,,,4.0,1.0,5.0,1.0,1.0,,,,9.0,22.0,,,,4.0,,87.0
35,"Stephenson, Jaidyn",4,2,7,11,,,,2.0,1.0,,1.0,,,,,4.0,7.0,,,3.0,,,90.0
24,"Thomas, Josh",5,4,13,18,,,,5.0,,1.0,2.0,1.0,,,,8.0,10.0,,,1.0,,,87.0
7,"Treloar, Adam",19,3,15,34,,3.0,,5.0,2.0,6.0,6.0,2.0,,2.0,,12.0,24.0,,1.0,,3.0,,88.0
18,"Varcoe, Travis",6,2,4,10,,,,3.0,1.0,,,2.0,1.0,1.0,,5.0,6.0,,,2.0,,,79.0
3,"Wells, Daniel",11,5,2,13,,3.0,,5.0,,4.0,1.0,2.0,1.0,,,4.0,9.0,,2.0,,,1.0,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,111,187,405,5,15.0,50.0,84.0,35.0,46.0,31.0,55.0,17.0,19.0,2.0,141.0,272.0,9.0,8.0,57.0,15.0,3.0,
Opposition,Opposition,212,86,166,378,9,12.0,23.0,61.0,35.0,46.0,36.0,47.0,19.0,17.0,4.0,150.0,224.0,13.0,6.0,38.0,7.0,6.0,
