Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
3,"Brereton, Dermott",30y 254d,199 (143-2-54 72.36%),439 (2.21),3 (0-1-2 16.67%),5 (1.67)
26,"Brown, Gavin",27y 217d,151 (81-4-66 54.97%),125 (0.83),←,
5,"Buckley, Nathan",22y 278d,48 (16-1-31 34.38%),45 (0.94),28 (12-1-15 44.64%),24 (0.86)
17,"Burns, Scott",20y 128d,5 (0-1-4 10.00%),1 (0.20),←,
21,"Christian, Michael",30y 252d,127 (66-3-58 53.15%),23 (0.18),←,
28,"Crosisca, Gavin",26y 227d,145 (84-4-57 59.31%),47 (0.32),←,
15,"Hassall, Jon",21y 259d,28 (12-1-15 44.64%),8 (0.29),←,
31,"Hotton, Trent",21y 150d,9 (3-0-6 33.33%),8 (0.89),←,
38,"James, Aaron",18y 181d,4 (1-1-2 37.50%),,←,
8,"James, Brett",22y 136d,21 (9-1-11 45.24%),21 (1.00),←,
23,"Kelly, Craig",28y 318d,100 (57-3-40 58.50%),43 (0.43),←,
34,"McGuane, Mick",27y 122d,139 (81-3-55 59.35%),115 (0.83),←,
1,"Monkhorst, Damian",25y 252d,122 (73-3-46 61.07%),27 (0.22),←,
41,"Orchard, Mark",19y 28d,2 (0-0-2 0.00%),,←,
13,"Richardson, Alan",29y 348d,92 (52-3-37 58.15%),10 (0.11),←,
36,"Rocca, Saverio",21y 161d,54 (29-1-24 54.63%),168 (3.11),←,
32,"Rowe, Brad",25y 158d,56 (26-0-30 46.43%),66 (1.18),42 (23-0-19 54.76%),57 (1.36)
14,"Watson, Shane",21y 72d,58 (29-1-28 50.86%),41 (0.71),←,
27,"Wild, Jason",19y 79d,2 (0-1-1 25.00%),,←,
10,"Williams, Paul",22y 27d,75 (40-1-34 54.00%),79 (1.05),←,
19,"Wright, Graham",26y 328d,134 (86-3-45 65.30%),90 (0.67),←,
Totals,Totals,24y 102d,1571 (888-37-646 56.52%),1356 (0.86),,
C,"Matthews, Leigh",43y 60d,207 (117-4-86 57.49%),,←,
