Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
25,"AhMat, Robert",6,2,4,10,2,2.0,,1.0,,,,,,,,,,,,,,,
26,"Brown, Gavin",4,3,8,12,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Buckley, Nathan",24,8,5,29,2,,,1.0,,,,,1.0,1.0,,,,,,,,,
17,"Burns, Scott",14,6,6,20,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,
28,"Crosisca, Gavin",10,4,1,11,,,,1.0,,,,,,,,,,,,,,,
39,"Crow, Scott",9,3,3,12,,,,4.0,,,,,1.0,2.0,,,,,,,,,
9,"Francis, Matthew",8,4,3,11,1,1.0,,2.0,,,,,,1.0,,,,,,,,,
2,"Francis, Tony",11,1,4,15,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
15,"Hassall, Jon",5,,7,12,,,,1.0,,,,,1.0,,,,,,,,,,
31,"Hotton, Trent",4,3,2,6,,,3.0,,,,,,1.0,,,,,,,,,,
33,"Liddell, Chad",2,1,3,5,,,,2.0,,,,,,1.0,,,,,,,,,
27,"McDonald, Alex",10,2,4,14,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,
6,"Patterson, Stephen",6,1,2,8,,1.0,,2.0,,,,,1.0,,,,,,,,,,
35,"Prestigiacomo, Simon",5,1,2,7,,,,,,,,,1.0,,,,,,,,,,
3,"Richardson, Mark",6,3,6,12,,,5.0,1.0,,,,,1.0,,,,,,,,,,
36,"Rocca, Saverio",7,3,1,8,3,2.0,2.0,1.0,,,,,,,,,,,,,,,
29,"Russell, Scott",12,5,10,22,,1.0,,4.0,,,,,,1.0,,,,,,,,,
12,"Schauble, Andrew",,1,3,3,,,1.0,,,,,,,,,,,,,,,,
30,"Sharkey, Paul",8,4,7,15,,,,1.0,,,,,,1.0,,,,,,,,,
22,"Wild, Jason",16,4,12,28,,,,4.0,,,,,,2.0,,,,,,,,,
10,"Williams, Paul",8,2,6,14,2,,,1.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,61,99,274,11,15.0,14.0,32.0,,,,,12.0,13.0,,,,,,,,,
Opposition,Opposition,204,80,132,336,17,12.0,29.0,46.0,,,,,13.0,12.0,6.0,,,,,,,,
