Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Barker, John",28y 116d,138 (53-1-84 38.77%),108 (0.78),83 (46-0-37 55.42%),95 (1.14)
33,"Barlow, Kris",29y 335d,87 (44-0-43 50.57%),72 (0.83),←,
10,"Bateman, Chance",21y 359d,29 (15-0-14 51.72%),6 (0.21),←,
35,"Cox, Adrian",22y 280d,37 (19-0-18 51.35%),21 (0.57),←,
24,"Cox, Simon",26y 141d,88 (42-0-46 47.73%),40 (0.45),30 (15-0-15 50.00%),16 (0.53)
9,"Crawford, Shane",28y 279d,212 (106-2-104 50.47%),169 (0.80),←,
19,"Dixon, Ben",26y 1d,125 (67-1-57 54.00%),179 (1.43),←,
1,"Everitt, Peter",29y 43d,190 (76-2-112 40.53%),314 (1.65),10 (3-0-7 30.00%),14 (1.40)
34,"Graham, Mark",30y 94d,195 (92-2-101 47.69%),57 (0.29),←,
3,"Hay, Jonathan",23y 306d,113 (55-1-57 49.12%),11 (0.10),←,
2,"Holland, Nick",28y 321d,157 (73-2-82 47.13%),227 (1.45),←,
18,"Ladson, Rick",19y 117d,6 (3-0-3 50.00%),5 (0.83),←,
37,"Lekkas, Angelo",26y 351d,139 (62-1-76 44.96%),75 (0.54),←,
28,"Mitchell, Sam",20y 246d,20 (10-0-10 50.00%),2 (0.10),←,
40,"Osborne, Michael",20y 321d,13 (4-0-9 30.77%),3 (0.23),←,
13,"Picioane, Lance",23y 8d,48 (25-0-23 52.08%),17 (0.35),44 (24-0-20 54.55%),15 (0.34)
20,"Rawlings, Jade",25y 249d,106 (52-0-54 49.06%),44 (0.42),←,
16,"Ries, Nick",20y 336d,28 (14-0-14 50.00%),9 (0.32),←,
11,"Smith, Joel",26y 43d,133 (67-1-65 50.75%),75 (0.56),75 (38-1-36 51.33%),24 (0.32)
38,"Stone, Nick",21y 257d,12 (7-0-5 58.33%),,←,
4,"Tallis, Rayden",28y 6d,150 (71-0-79 47.33%),24 (0.16),←,
21,"Vandenberg, Richard",26y 152d,73 (34-1-38 47.26%),30 (0.41),←,
Totals,Totals,25y 99d,2099 (991-14-1094 47.21%),1488 (0.71),,
C,"Schwab, Peter",42y 266d,82 (43-0-39 52.44%),,←,
