Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",28y 27d,133 (66-0-67 49.62%),47 (0.35),←,
14,"Birchall, Grant",21y 171d,78 (46-0-32 58.97%),7 (0.09),←,
30,"Brown, Campbell",25y 324d,136 (66-0-70 48.53%),55 (0.40),←,
16,"Dowler, Beau",21y 214d,12 (7-0-5 58.33%),3 (0.25),←,
8,"Ellis, Xavier",21y 140d,45 (30-0-15 66.67%),9 (0.20),←,
23,"Franklin, Lance",22y 169d,97 (51-0-46 52.58%),289 (2.98),←,
27,"Gilham, Stephen",24y 319d,57 (40-0-17 70.18%),2 (0.04),56 (40-0-16 71.43%),2 (0.04)
18,"Guerra, Brent",27y 50d,170 (115-0-55 67.65%),91 (0.54),74 (46-0-28 62.16%),8 (0.11)
15,"Hodge, Luke",25y 33d,145 (70-0-75 48.28%),97 (0.67),←,
32,"Kennedy, Josh",21y 28d,7 (4-0-3 57.14%),,←,
3,"Lewis, Jordan",23y 85d,96 (49-0-47 51.04%),32 (0.33),←,
21,"McGlynn, Ben",23y 346d,38 (22-0-16 57.89%),21 (0.55),←,
5,"Mitchell, Sam",26y 279d,149 (74-0-75 49.66%),29 (0.19),←,
29,"Murphy, Tom",23y 121d,45 (23-0-22 51.11%),3 (0.07),←,
7,"Osborne, Michael",26y 354d,111 (52-0-59 46.85%),60 (0.54),←,
34,"Renouf, Brent",21y 76d,17 (12-0-5 70.59%),,←,
33,"Rioli, Cyril",20y 4d,38 (28-0-10 73.68%),40 (1.05),←,
2,"Roughead, Jarryd",22y 176d,99 (54-0-45 54.55%),179 (1.81),←,
25,"Schoenmakers, Ryan",18y 252d,7 (3-0-4 42.86%),,←,
12,"Sewell, Brad",25y 166d,99 (49-0-50 49.49%),14 (0.14),←,
26,"Shiels, Liam",18y 80d,5 (3-0-2 60.00%),1 (0.20),←,
13,"Taylor, Simon",26y 334d,80 (41-0-39 51.25%),15 (0.19),←,
Totals,Totals,23y 170d,1664 (905-0-759 54.39%),994 (0.60),,
C,"Clarkson, Alastair",41y 82d,109 (56-0-53 51.38%),,←,
