Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Adams, Taylor",18,6,12,30,,,,4.0,5.0,3.0,6.0,8.0,3.0,2.0,,10.0,20.0,,,2.0,1.0,,83.0
8,"Bianco, Trent",,,,,,,,,,,,,,,,,,,,,,,
14,"Cameron, Darcy",8,5,3,11,1,1.0,10.0,1.0,1.0,1.0,2.0,,3.0,,,9.0,2.0,4.0,1.0,1.0,,,86.0
25,"Crisp, Jack",13,7,15,28,,,,3.0,2.0,1.0,3.0,4.0,,,,9.0,21.0,,,8.0,2.0,,85.0
2,"de Goey, Jordan",14,6,14,28,,,,2.0,1.0,4.0,8.0,5.0,1.0,1.0,,12.0,15.0,,,1.0,,,80.0
5,"Elliott, Jamie",10,4,4,14,2,1.0,,,,3.0,1.0,3.0,2.0,1.0,,3.0,12.0,,1.0,2.0,1.0,,84.0
33,"Ginnivan, Jack",6,3,1,7,3,,,1.0,,2.0,,,2.0,,,2.0,5.0,,1.0,1.0,,,74.0
4,"Grundy, Brodie",9,6,7,16,1,,31.0,6.0,2.0,3.0,4.0,4.0,,2.0,,10.0,5.0,2.0,1.0,3.0,,1.0,81.0
35,"Henry, Oliver",11,7,,11,1,,,3.0,1.0,3.0,,3.0,2.0,,,4.0,9.0,1.0,1.0,1.0,,,67.0
32,"Hoskin-Elliott, Will",11,7,5,16,,,,3.0,,4.0,,4.0,,,,4.0,12.0,1.0,1.0,,,2.0,90.0
38,"Howe, Jeremy",11,5,5,16,,,,3.0,7.0,,,3.0,,1.0,,4.0,8.0,1.0,,3.0,1.0,,89.0
18,"Macrae, Finlay",8,4,12,20,1,,,2.0,,2.0,2.0,1.0,,1.0,,5.0,15.0,,,,,,61.0
44,"Madgen, Jack",7,4,8,15,,,,1.0,2.0,1.0,,,,,,5.0,9.0,1.0,,6.0,,1.0,90.0
37,"Maynard, Brayden",16,9,5,21,,,,5.0,4.0,2.0,1.0,2.0,1.0,,,2.0,18.0,,,2.0,,,91.0
16,"Mayne, Chris",9,7,17,26,,,,3.0,1.0,,,2.0,,,,3.0,23.0,,,2.0,,,82.0
31,"McCreery, Beau",6,5,4,10,,1.0,,1.0,,4.0,,2.0,,2.0,,2.0,9.0,,,1.0,,2.0,71.0
41,"Mihocek, Brody",7,6,1,8,2,,,1.0,,1.0,,2.0,,1.0,,2.0,4.0,2.0,1.0,,,,87.0
9,"Noble, John",12,4,6,18,,,,2.0,2.0,2.0,,4.0,,2.0,,3.0,15.0,,,,1.0,1.0,81.0
3,"Quaynor, Isaac",9,4,9,18,,,,1.0,3.0,1.0,1.0,7.0,1.0,1.0,,7.0,12.0,,,6.0,,,89.0
23,"Roughead, Jordan",8,4,2,10,,,,3.0,,2.0,,2.0,1.0,1.0,,3.0,6.0,,,6.0,,,92.0
21,"Ruscoe, Trey",9,3,3,12,,,,2.0,1.0,1.0,,3.0,1.0,,,4.0,8.0,,,2.0,,,74.0
22,"Sidebottom, Steele",10,2,12,22,1,,,6.0,,2.0,4.0,3.0,1.0,,,9.0,12.0,,,,,1.0,87.0
24,"Thomas, Josh",8,5,10,18,,1.0,,,,3.0,1.0,3.0,,,,5.0,12.0,,1.0,,,1.0,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,220,113,155,375,12,6.0,41.0,53.0,32.0,45.0,33.0,65.0,18.0,15.0,,117.0,252.0,12.0,8.0,47.0,6.0,9.0,
Opposition,Opposition,238,137,195,433,15,7.0,35.0,38.0,31.0,48.0,39.0,48.0,15.0,18.0,6.0,114.0,319.0,12.0,11.0,43.0,3.0,15.0,
