Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Cameron, Darcy",5.0,6.0,11.0,16.0,,,24.0,2.0,,1.0,3.0,2.0,1.0,2.0,,7.0,9.0,1.0,1.0,3.0,,,85.0
25,"Crisp, Jack",11.0,2.0,11.0,22.0,,,,3.0,,7.0,3.0,6.0,,2.0,,7.0,14.0,,,2.0,,,79.0
7,"Daicos, Josh",10.0,3.0,10.0,20.0,,,,1.0,2.0,5.0,2.0,3.0,1.0,,,6.0,14.0,,,2.0,,1.0,89.0
35,"Daicos, Nick",13.0,4.0,11.0,24.0,,,,4.0,2.0,3.0,6.0,4.0,2.0,1.0,,7.0,16.0,,,,,1.0,76.0
2,"de Goey, Jordan",5.0,1.0,10.0,15.0,1.0,1.0,,1.0,,2.0,4.0,3.0,,3.0,,8.0,9.0,,1.0,2.0,,,82.0
5,"Elliott, Jamie",4.0,2.0,2.0,6.0,,3.0,,,,,,3.0,,2.0,,1.0,5.0,,1.0,,,,86.0
17,"Frampton, Billy",4.0,3.0,5.0,9.0,,,,1.0,,,,4.0,,1.0,,2.0,7.0,,,3.0,1.0,,94.0
32,"Hoskin-Elliott, Will",2.0,2.0,2.0,4.0,,,,,,1.0,,1.0,,1.0,,,4.0,,,1.0,,1.0,66.0
9,"Houston, Dan",13.0,1.0,9.0,22.0,,1.0,,,6.0,3.0,1.0,4.0,1.0,,,3.0,15.0,,,3.0,,,89.0
38 ↓,"Howe, Jeremy",,,,,,,,,,,,,,,,,,,,,,,2.0
1,"Lipinski, Patrick",6.0,1.0,10.0,16.0,1.0,1.0,,3.0,2.0,1.0,2.0,3.0,2.0,1.0,,9.0,7.0,,1.0,1.0,,,85.0
44 ↑,"Long, Ned",3.0,2.0,7.0,10.0,,,,3.0,,2.0,,2.0,,1.0,,2.0,8.0,,,,,,69.0
4,"Maynard, Brayden",12.0,3.0,6.0,18.0,,,,3.0,8.0,2.0,,2.0,1.0,2.0,,4.0,14.0,,,3.0,,,84.0
11,"McStay, Daniel",9.0,5.0,6.0,15.0,,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,,5.0,11.0,,,3.0,2.0,,79.0
28,"Membrey, Tim",4.0,2.0,3.0,7.0,1.0,,,1.0,,1.0,,2.0,1.0,,,3.0,3.0,,1.0,1.0,,,86.0
41,"Mihocek, Brody",8.0,3.0,3.0,11.0,2.0,1.0,,2.0,,2.0,,1.0,3.0,,,4.0,7.0,,1.0,1.0,,1.0,82.0
6,"Mitchell, Tom",7.0,5.0,11.0,18.0,,,,4.0,1.0,3.0,2.0,2.0,2.0,1.0,,7.0,12.0,,,,,,74.0
30,"Moore, Darcy",5.0,7.0,10.0,15.0,,,,3.0,2.0,,,2.0,,,,4.0,11.0,2.0,,5.0,1.0,,90.0
10,"Pendlebury, Scott",15.0,4.0,12.0,27.0,,,,,2.0,2.0,5.0,3.0,1.0,,,11.0,15.0,,,5.0,,1.0,72.0
12,"Perryman, Harry",11.0,5.0,6.0,17.0,,,,2.0,2.0,2.0,,1.0,1.0,,,6.0,11.0,,,3.0,,,86.0
3,"Quaynor, Isaac",6.0,4.0,4.0,10.0,,,,3.0,3.0,2.0,1.0,,,,,3.0,7.0,1.0,,1.0,1.0,1.0,80.0
8,"Schultz, Lachie",8.0,5.0,4.0,12.0,1.0,,,5.0,,2.0,,1.0,1.0,,,2.0,9.0,,1.0,,,,82.0
22,"Sidebottom, Steele",13.0,7.0,5.0,18.0,,2.0,,,1.0,,1.0,6.0,,2.0,,6.0,14.0,,2.0,,,,83.0
Totals,Totals,174.0,77.0,158.0,332.0,6.0,10.0,25.0,42.0,32.0,44.0,30.0,58.0,18.0,20.0,,107.0,222.0,4.0,9.0,39.0,5.0,6.0,
Opposition,Opposition,243.0,110.0,165.0,408.0,17.0,8.0,35.0,37.0,37.0,50.0,35.0,54.0,20.0,18.0,6.0,125.0,278.0,9.0,18.0,37.0,9.0,13.0,
