Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
28,"Crosisca, Gavin",23y 321d,107 (68-3-36 64.95%),41 (0.38),←,
35,"Daicos, Peter",30y 316d,240 (141-4-95 59.58%),530 (2.21),←,
2,"Francis, Tony",23y 122d,54 (35-2-17 66.67%),38 (0.70),←,
47,"Fraser, Mark",21y 179d,9 (7-0-2 77.78%),4 (0.44),←,
3,"Gayfer, Michael",26y 350d,129 (79-1-49 61.63%),1 (0.01),←,
30,"Manson, James",25y 273d,120 (70-3-47 59.58%),106 (0.88),←,
12,"McCartney, Jason",18y 140d,7 (4-0-3 57.14%),3 (0.43),←,
34,"McGuane, Mick",24y 216d,89 (55-2-32 62.92%),57 (0.64),←,
1,"Monkhorst, Damian",22y 346d,71 (47-2-22 67.61%),10 (0.14),←,
7,"Morwood, Shane",30y 244d,196 (118-3-75 60.97%),117 (0.60),179 (109-3-67 61.73%),104 (0.58)
4,"Pert, Gary",27y 65d,181 (90-0-91 49.72%),45 (0.25),18 (13-0-5 72.22%),3 (0.17)
13,"Richardson, Alan",27y 76d,52 (32-2-18 63.46%),10 (0.19),←,
36,"Rocca, Saverio",18y 255d,6 (5-0-1 83.33%),23 (3.83),←,
32,"Rowe, Brad",22y 252d,24 (11-0-13 45.83%),17 (0.71),10 (8-0-2 80.00%),8 (0.80)
29,"Russell, Scott",22y 86d,66 (44-2-20 68.18%),43 (0.65),←,
31,"Saunders, Darren",26y 351d,37 (23-0-14 62.16%),,31 (20-0-11 64.52%),
22,"Shaw, Tony",32y 9d,276 (157-3-116 57.43%),150 (0.54),←,
24,"Turner, Jamie",29y 355d,153 (87-3-63 57.84%),32 (0.21),←,
14,"Watson, Shane",18y 166d,11 (6-0-5 54.55%),20 (1.82),←,
10,"Williams, Paul",19y 120d,30 (19-0-11 63.33%),30 (1.00),←,
Totals,Totals,24y 249d,1858 (1098-30-730 59.10%),1277 (0.69),,
C,"Matthews, Leigh",40y 153d,154 (91-3-60 60.06%),,←,
