Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
47,"Beams, Ben",20y 301d,6 (3-0-3 50.00%),7 (1.17),←,
32,"Carter, Nick",21y 47d,25 (3-0-22 12.00%),6 (0.24),3 (2-0-1 66.67%),1 (0.33)
19,"Chisholm, Scott",26y 17d,70 (28-0-42 40.00%),26 (0.37),7 (4-0-3 57.14%),1 (0.14)
8,"Farmer, Jeff",21y 355d,73 (29-0-44 39.73%),142 (1.95),←,
20,"Febey, Matthew",29y 299d,133 (62-0-71 46.62%),40 (0.30),←,
4,"Grgic, Brent",19y 249d,32 (15-0-17 46.88%),17 (0.53),←,
15,"Hopgood, Paul",25y 328d,101 (43-0-58 42.57%),9 (0.09),←,
27,"Ingerson, Anthony",29y 244d,112 (46-0-66 41.07%),40 (0.36),75 (30-0-45 40.00%),15 (0.20)
16,"Johnstone, Travis",18y 332d,19 (9-0-10 47.37%),15 (0.79),←,
36,"Leoncelli, Andrew",24y 332d,53 (24-0-29 45.28%),13 (0.25),←,
3,"Lyon, Garry",31y 274d,226 (127-1-98 56.42%),426 (1.88),←,
9,"Neitz, David",24y 143d,127 (58-0-69 45.67%),188 (1.48),←,
44,"Nicholson, Alistair",21y 102d,9 (4-0-5 44.44%),,←,
43,"Rigoni, Guy",24y 322d,36 (21-0-15 58.33%),11 (0.31),←,
5,"Schwarz, David",26y 325d,103 (46-1-56 45.15%),159 (1.54),←,
1,"Shanahan, Jamie",31y 190d,151 (81-1-69 53.97%),,26 (17-0-9 65.38%),
12,"Viney, Todd",33y 76d,227 (110-1-116 48.68%),86 (0.38),←,
42,"Walsh, Peter",22y 325d,10 (4-0-6 40.00%),,←,
26,"Ward, Daniel",21y 340d,11 (4-0-7 36.36%),1 (0.09),←,
34,"White, Jeff",22y 115d,65 (33-0-32 50.77%),41 (0.63),33 (20-0-13 60.61%),23 (0.70)
22,"Woewodin, Shane",22y 337d,58 (25-0-33 43.10%),18 (0.31),←,
13,"Yze, Adem",21y 266d,83 (35-0-48 42.17%),33 (0.40),←,
Totals,Totals,24y 275d,1730 (810-4-916 46.82%),1278 (0.74),,
C,"Daniher, Neale",38y 119d,36 (21-0-15 58.33%),,←,
