Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Burns, Scott",15,5,18,33,,1.0,,3.0,4.0,5.0,9.0,4.0,2.0,,,18.0,15.0,,1.0,1.0,2.0,2.0,92.0
10,"Caracella, Blake",6,2,6,12,2,1.0,1.0,1.0,,1.0,,1.0,1.0,,,4.0,7.0,,1.0,1.0,1.0,,90.0
8,"Clement, James",12,5,6,18,,,,4.0,9.0,,3.0,2.0,1.0,,,9.0,7.0,2.0,,5.0,1.0,,100.0
33,"Cloke, Cameron",8,4,3,11,,,6.0,1.0,,4.0,5.0,3.0,3.0,2.0,,7.0,5.0,1.0,,9.0,,,75.0
32,"Cloke, Travis",11,4,1,12,,2.0,,,,4.0,2.0,6.0,1.0,1.0,,6.0,5.0,1.0,,,,,95.0
4,"Didak, Alan",8,3,6,14,3,,,2.0,,2.0,,3.0,3.0,,,7.0,7.0,,1.0,3.0,2.0,,90.0
25,"Fraser, Josh",6,5,6,12,,1.0,15.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,10.0,1.0,,,2.0,,68.0
6,"Holland, Brodie",12,6,10,22,,,,2.0,,3.0,2.0,3.0,1.0,1.0,,7.0,15.0,1.0,,1.0,,1.0,77.0
18,"Licuria, Paul",18,6,10,28,,1.0,,3.0,4.0,6.0,3.0,1.0,,1.0,,7.0,19.0,,,,,1.0,93.0
24,"Lockyer, Tarkyn",20,6,8,28,,,,2.0,10.0,3.0,1.0,4.0,,1.0,,6.0,20.0,,,3.0,,,100.0
3,"Lonie, Ryan",5,,1,6,1,,,3.0,,1.0,,2.0,,,,,5.0,,,1.0,,,81.0
27,"Maxwell, Nick",2,,3,5,,,1.0,5.0,1.0,,1.0,2.0,1.0,2.0,,3.0,2.0,,,9.0,,,85.0
7,"Morrison, Chad",9,,10,19,,1.0,,,5.0,2.0,4.0,1.0,,,,8.0,10.0,,,,,,56.0
11,"OBree, Shane",11,3,9,20,1,,,3.0,2.0,7.0,1.0,1.0,1.0,,,6.0,14.0,,,3.0,4.0,2.0,71.0
35,"Prestigiacomo, Simon",3,2,2,5,,,2.0,1.0,1.0,1.0,,,,,,2.0,3.0,,,6.0,,,100.0
9,"Rowe, Julian",11,5,3,14,1,1.0,,3.0,,3.0,1.0,1.0,,1.0,,4.0,10.0,,1.0,1.0,,,82.0
28,"Rusling, Sean",1,2,1,2,,,,2.0,,,,,,,,,2.0,,,2.0,,,67.0
22,"Shaw, Rhyce",3,1,2,5,,,,1.0,,1.0,,2.0,1.0,,,2.0,4.0,,,1.0,1.0,,43.0
36,"Swan, Dane",6,3,6,12,,,,3.0,4.0,,1.0,,1.0,,,6.0,6.0,,,5.0,,,100.0
20,"Tarrant, Chris",8,6,3,11,2,1.0,,,,1.0,1.0,5.0,,3.0,,3.0,7.0,,4.0,1.0,,1.0,100.0
14,"Wakelin, Shane",7,2,2,9,,,1.0,,1.0,,,,,,,1.0,8.0,,,3.0,,,54.0
2,"Woewodin, Shane",14,3,2,16,,1.0,,1.0,1.0,5.0,1.0,3.0,,1.0,,3.0,12.0,,1.0,,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,73,118,314,10,12.0,26.0,42.0,43.0,51.0,36.0,46.0,17.0,13.0,,111.0,193.0,6.0,9.0,55.0,13.0,7.0,
Opposition,Opposition,219,105,106,325,17,15.0,42.0,43.0,40.0,58.0,37.0,42.0,13.0,17.0,6.0,127.0,190.0,12.0,15.0,47.0,16.0,11.0,
