Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
43,"Barham, Jaxson",22y 25d,7 (4-1-2 64.29%),1 (0.14),←,
17,"Beams, Dayne",20y 122d,29 (18-1-10 63.79%),25 (0.86),←,
15,"Brown, Leigh",28y 111d,210 (98-2-110 47.14%),96 (0.46),29 (20-1-8 70.69%),12 (0.41)
32,"Cloke, Travis",23y 101d,112 (64-1-47 57.59%),135 (1.21),←,
1,"Davis, Leon",28y 362d,195 (102-1-92 52.56%),251 (1.29),←,
33,"Dick, Brad",21y 324d,23 (16-1-6 71.74%),30 (1.30),←,
25,"Fraser, Josh",28y 160d,199 (110-1-88 55.53%),156 (0.78),←,
18,"Jolly, Darren",28y 220d,178 (94-3-81 53.65%),78 (0.44),12 (8-1-3 70.83%),8 (0.67)
24,"Lockyer, Tarkyn",30y 227d,221 (111-1-109 50.45%),146 (0.66),←,
8,"Lumumba, Heritier",23y 211d,97 (58-1-38 60.31%),11 (0.11),←,
30,"Macaffer, Brent",22y 106d,15 (8-1-6 56.67%),6 (0.40),←,
5,"Maxwell, Nick",27y 11d,130 (74-1-55 57.31%),26 (0.20),←,
7,"Medhurst, Paul",28y 185d,167 (92-1-74 55.39%),274 (1.64),68 (42-1-25 62.50%),108 (1.59)
10,"Pendlebury, Scott",22y 158d,88 (52-1-35 59.66%),52 (0.59),←,
35,"Prestigiacomo, Simon",32y 134d,226 (102-1-123 45.35%),3 (0.01),←,
20,"Reid, Ben",21y 46d,17 (7-1-9 44.12%),3 (0.18),←,
39,"Shaw, Heath",24y 199d,103 (60-1-42 58.74%),21 (0.20),←,
22,"Sidebottom, Steele",19y 163d,23 (15-1-7 67.39%),16 (0.70),←,
36,"Swan, Dane",26y 109d,137 (76-1-60 55.84%),85 (0.62),←,
13,"Thomas, Dale",22y 358d,97 (58-1-38 60.31%),76 (0.78),←,
34,"Toovey, Alan",23y 83d,53 (34-1-18 65.09%),8 (0.15),←,
21,"Wellingham, Sharrod",21y 342d,38 (24-1-13 64.47%),18 (0.47),←,
Totals,Totals,24y 337d,2365 (1277-25-1063 54.00%),1517 (0.64),,
C,"Malthouse, Mick",56y 301d,625 (352-5-268 56.72%),,247 (129-1-117 52.43%),
