Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
8,"Bianco, Trent",21y 197d,19 (9-0-10 47.37%),7 (0.37),←,
14,"Cameron, Darcy",27y 18d,48 (24-1-23 51.04%),44 (0.92),47 (24-1-22 52.13%),44 (0.94)
45,"Carmichael, Josh",22y 316d,5 (5-0-0 100.00%),4 (0.80),←,
46,"Cox, Mason",31y 144d,89 (51-0-38 57.30%),97 (1.09),←,
25,"Crisp, Jack",28y 307d,195 (99-2-94 51.28%),58 (0.30),177 (92-2-83 52.54%),48 (0.27)
7,"Daicos, Josh",23y 252d,72 (38-1-33 53.47%),38 (0.53),←,
35,"Daicos, Nick",19y 214d,20 (15-0-5 75.00%),5 (0.25),←,
2,"de Goey, Jordan",26y 143d,133 (69-2-62 52.63%),170 (1.28),←,
5,"Elliott, Jamie",29y 349d,150 (88-2-60 59.33%),220 (1.47),←,
33,"Ginnivan, Jack",19y 239d,23 (16-0-7 69.57%),38 (1.65),←,
32,"Hoskin-Elliott, Will",28y 337d,176 (80-2-94 46.02%),156 (0.89),124 (68-2-54 55.65%),114 (0.92)
38,"Howe, Jeremy",32y 37d,214 (85-2-127 40.19%),91 (0.43),114 (63-2-49 56.14%),11 (0.10)
40,"Johnson, Ash",24y 303d,4 (4-0-0 100.00%),10 (2.50),←,
1,"Lipinski, Patrick",24y 19d,76 (46-0-30 60.53%),38 (0.50),20 (15-0-5 75.00%),8 (0.40)
37,"Maynard, Brayden",25y 319d,156 (78-2-76 50.64%),17 (0.11),←,
31,"McCreery, Beau",21y 108d,30 (17-0-13 56.67%),22 (0.73),←,
41,"Mihocek, Brody",29y 182d,97 (56-1-40 58.25%),160 (1.65),←,
30,"Moore, Darcy",26y 192d,121 (58-2-61 48.76%),67 (0.55),←,
28,"Murphy, Nathan",22y 233d,28 (18-0-10 64.29%),1 (0.04),←,
9,"Noble, John",25y 133d,64 (34-1-29 53.91%),4 (0.06),←,
10,"Pendlebury, Scott",34y 210d,353 (211-3-139 60.20%),185 (0.52),←,
3,"Quaynor, Isaac",22y 202d,54 (27-0-27 50.00%),3 (0.06),←,
22,"Sidebottom, Steele",31y 215d,284 (170-4-110 60.56%),184 (0.65),←,
Totals,Totals,26y 44d,2411 (1298-25-1088 53.84%),1619 (0.67),,
C,"McRae, Craig",48y 317d,20 (15-0-5 75.00%),,←,
