Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",29y 355d,125 (79-1-45 63.60%),7 (0.06),107 (72-1-34 67.76%),3 (0.03)
20,"Brogan, Dean",26y 199d,61 (45-1-15 74.59%),24 (0.39),←,
7,"Burgoyne, Peter",27y 153d,165 (97-3-65 59.70%),166 (1.01),←,
8,"Burgoyne, Shaun",22y 253d,72 (57-0-15 79.17%),81 (1.13),←,
25,"Cassisi, Domenic",22y 282d,57 (41-1-15 72.81%),24 (0.42),←,
35,"Cornes, Chad",25y 231d,132 (86-1-45 65.53%),112 (0.85),←,
18,"Cornes, Kane",22y 177d,83 (58-1-24 70.48%),39 (0.47),←,
17,"Dew, Stuart",25y 317d,150 (88-3-59 59.67%),218 (1.45),←,
33,"Ebert, Brett",21y 225d,30 (17-1-12 58.33%),32 (1.07),←,
10,"Francou, Josh",30y 328d,147 (76-4-67 53.06%),71 (0.48),←,
38,"James, Roger",29y 253d,143 (89-3-51 63.29%),87 (0.61),←,
29,"Kingsley, Adam",29y 315d,156 (91-3-62 59.29%),41 (0.26),←,
5,"Lade, Brendon",28y 356d,138 (81-3-54 59.78%),114 (0.83),←,
3,"Montgomery, Brett",32y 30d,177 (113-3-61 64.69%),101 (0.57),117 (73-2-42 63.25%),47 (0.40)
15,"Pickett, Byron",27y 324d,168 (110-0-58 65.48%),156 (0.93),48 (36-0-12 75.00%),75 (1.56)
1,"Primus, Matthew",30y 170d,153 (72-3-78 48.04%),81 (0.53),133 (71-3-59 54.51%),76 (0.57)
12,"Shattock, Aaron",25y 60d,65 (38-2-25 60.00%),16 (0.25),8 (3-1-4 43.75%),1 (0.13)
16,"Tredrea, Warren",26y 189d,169 (102-2-65 60.95%),383 (2.27),←,
2,"Wakelin, Darryl",30y 324d,216 (123-2-91 57.41%),12 (0.06),101 (70-1-30 69.80%),4 (0.04)
42,"Walsh, Peter",28y 342d,118 (57-1-60 48.73%),34 (0.29),14 (6-1-7 46.43%),3 (0.21)
4,"Wanganeen, Gavin",32y 13d,290 (173-6-111 60.69%),195 (0.67),163 (100-3-60 62.27%),132 (0.81)
21,"Wilson, Michael",28y 222d,143 (77-4-62 55.24%),44 (0.31),←,
Totals,Totals,27y 216d,2958 (1770-48-1140 59.84%),2038 (0.69),,
C,"Williams, Mark",46y 314d,157 (98-2-57 63.06%),,←,
