Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
9,"Anthony, John",22y 171d,42 (28-0-14 66.67%),80 (1.90),←,
12,"Ball, Luke",26y 45d,156 (101-0-55 64.74%),63 (0.40),14 (11-0-3 78.57%),5 (0.36)
17,"Beams, Dayne",20y 147d,32 (21-1-10 67.19%),28 (0.88),←,
47,"Blair, Jarryd",20y 86d,2 (2-0-0 100.00%),2 (1.00),←,
15,"Brown, Leigh",28y 136d,213 (101-2-110 47.89%),100 (0.47),32 (23-1-8 73.44%),16 (0.50)
32,"Cloke, Travis",23y 126d,115 (67-1-47 58.70%),138 (1.20),←,
31,"Dawes, Chris",22y 54d,19 (15-0-4 78.95%),29 (1.53),←,
4,"Didak, Alan",27y 144d,172 (101-0-71 58.72%),241 (1.40),←,
6,"Goldsack, Tyson",23y 48d,48 (28-0-20 58.33%),5 (0.10),←,
26,"Johnson, Ben",29y 95d,198 (109-0-89 55.05%),59 (0.30),←,
18,"Jolly, Darren",28y 245d,181 (97-3-81 54.42%),84 (0.46),15 (11-1-3 76.67%),14 (0.93)
24,"Lockyer, Tarkyn",30y 252d,224 (114-1-109 51.12%),149 (0.67),←,
8,"Lumumba, Heritier",23y 236d,100 (61-1-38 61.50%),12 (0.12),←,
10,"Pendlebury, Scott",22y 183d,91 (55-1-35 60.99%),54 (0.59),←,
35,"Prestigiacomo, Simon",32y 159d,229 (105-1-123 46.07%),3 (0.01),←,
20,"Reid, Ben",21y 71d,20 (10-1-9 52.50%),3 (0.15),←,
39,"Shaw, Heath",24y 224d,106 (63-1-42 59.91%),21 (0.20),←,
22,"Sidebottom, Steele",19y 188d,25 (17-1-7 70.00%),18 (0.72),←,
36,"Swan, Dane",26y 134d,140 (79-1-60 56.79%),88 (0.63),←,
13,"Thomas, Dale",23y 18d,100 (61-1-38 61.50%),78 (0.78),←,
34,"Toovey, Alan",23y 108d,56 (37-1-18 66.96%),8 (0.14),←,
21,"Wellingham, Sharrod",22y 2d,41 (27-1-13 67.07%),18 (0.44),←,
Totals,Totals,24y 214d,2310 (1299-18-993 56.23%),1281 (0.55),,
C,"Malthouse, Mick",56y 326d,628 (355-5-268 56.93%),,250 (132-1-117 53.00%),
