Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",29y 35d,198 (134-1-63 67.93%),83 (0.42),56 (44-1-11 79.46%),25 (0.45)
11,"Blair, Jarryd",23y 76d,72 (54-1-17 75.69%),60 (0.83),←,
16,"Brown, Nathan",24y 194d,81 (51-1-29 63.58%),7 (0.09),←,
32,"Cloke, Travis",26y 116d,186 (120-2-64 65.05%),319 (1.72),←,
41,"Dwyer, Sam",26y 304d,11 (6-0-5 54.55%),12 (1.09),←,
19,"Elliott, Jamie",20y 312d,27 (18-0-9 66.67%),26 (0.96),←,
25,"Hudson, Ben",34y 125d,165 (96-1-68 58.48%),19 (0.12),4 (1-0-3 25.00%),1 (0.25)
27,"Kennedy, Ben",19y 118d,8 (5-0-3 62.50%),8 (1.00),←,
21,"Lynch, Quinten",30y 156d,222 (125-0-97 56.31%),286 (1.29),13 (8-0-5 61.54%),5 (0.38)
3,"Macaffer, Brent",25y 121d,42 (29-2-11 71.43%),23 (0.55),←,
37,"Martin, Kyle",22y 285d,4 (3-0-1 75.00%),6 (1.50),←,
5,"Maxwell, Nick",30y 26d,188 (121-2-65 64.89%),29 (0.15),←,
8,"Lumumba, Heritier",26y 226d,172 (115-2-55 67.44%),21 (0.12),←,
10,"Pendlebury, Scott",25y 173d,161 (108-2-51 67.70%),106 (0.66),←,
2,"Russell, Jordan",26y 235d,124 (56-2-66 45.97%),18 (0.15),8 (4-0-4 50.00%),
40,"Seedsman, Paul",21y 158d,22 (14-0-8 63.64%),7 (0.32),←,
39,"Shaw, Heath",27y 214d,163 (104-2-57 64.42%),37 (0.23),←,
22,"Sidebottom, Steele",22y 178d,98 (72-2-24 74.49%),77 (0.79),←,
28,"Sinclair, Ben",21y 271d,32 (21-0-11 65.63%),18 (0.56),←,
36,"Swan, Dane",29y 124d,209 (131-2-76 63.16%),166 (0.79),←,
24,"Thomas, Josh",21y 271d,9 (7-0-2 77.78%),4 (0.44),←,
46,"Williams, Marley",19y 342d,12 (9-0-3 75.00%),1 (0.08),←,
Totals,Totals,25y 102d,2206 (1399-22-785 63.42%),1333 (0.60),,
C,"Buckley, Nathan",40y 338d,38 (25-0-13 65.79%),,←,
