Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
32,"Baldwin, Jason",27y 211d,126 (38-0-88 30.16%),36 (0.29),1 (1-0-0 100.00%),
35,"Bond, Chris",28y 131d,111 (53-1-57 48.20%),39 (0.35),89 (45-1-43 51.12%),31 (0.35)
30,"Bourke, David",21y 148d,41 (25-0-16 60.98%),10 (0.24),←,
17,"Broderick, Paul",27y 154d,173 (83-1-89 48.27%),122 (0.71),80 (44-1-35 55.63%),42 (0.52)
21,"Bulluss, Paul",27y 134d,69 (27-1-41 39.86%),17 (0.25),←,
9,"Campbell, Wayne",24y 256d,130 (57-1-72 44.23%),78 (0.60),←,
40,"Chaffey, Mark",20y 31d,6 (3-0-3 50.00%),1 (0.17),←,
10,"Daffy, Nick",24y 26d,78 (43-1-34 55.77%),106 (1.36),←,
25,"Gale, Brendon",28y 323d,153 (64-1-88 42.16%),168 (1.10),←,
1,"Gale, Michael",30y 167d,173 (77-1-95 44.80%),45 (0.26),68 (36-1-31 53.68%),16 (0.24)
2,"Gaspar, Darren",21y 17d,52 (22-0-30 42.31%),2 (0.04),31 (15-0-16 48.39%),1 (0.03)
20,"Harrison, Ben",22y 140d,15 (8-0-7 53.33%),2 (0.13),13 (6-0-7 46.15%),2 (0.15)
16,"Holland, Ben",20y 27d,21 (11-0-10 52.38%),10 (0.48),←,
3,"Kellaway, Duncan",24y 109d,88 (45-1-42 51.70%),,←,
8,"Merenda, Mark",21y 220d,51 (30-0-21 58.82%),31 (0.61),←,
28,"Moore, Ben",19y 337d,6 (4-0-2 66.67%),4 (0.67),←,
26,"Nichols, Trent",28y 60d,103 (41-1-61 40.29%),103 (1.00),66 (21-0-45 31.82%),61 (0.92)
13,"Powell, Robert",21y 79d,12 (7-0-5 58.33%),18 (1.50),←,
7,"Prescott, Ashley",24y 268d,57 (30-1-26 53.51%),8 (0.14),←,
12,"Richardson, Matthew",22y 79d,72 (36-0-36 50.00%),229 (3.18),←,
41,"Turner, Scott",27y 6d,114 (46-0-68 40.35%),32 (0.28),←,
Totals,Totals,24y 157d,1651 (750-10-891 45.43%),1061 (0.64),,
C,"Walls, Robert",46y 320d,341 (161-2-178 47.51%),,33 (16-0-17 48.48%),
