Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",22y 202d,64 (17-0-47 26.56%),22 (0.34),33 (14-0-19 42.42%),10 (0.30)
14,"Aish, James",20y 153d,34 (9-0-25 26.47%),10 (0.29),2 (1-0-1 50.00%),2 (1.00)
11,"Blair, Jarryd",25y 361d,125 (81-1-43 65.20%),95 (0.76),←,
16,"Brown, Nathan",27y 114d,117 (70-1-46 60.26%),7 (0.06),←,
32,"Cloke, Travis",29y 35d,236 (145-2-89 61.86%),427 (1.81),←,
25,"Crisp, Jack",22y 190d,43 (18-0-25 41.86%),28 (0.65),25 (11-0-14 44.00%),18 (0.72)
2,"de Goey, Jordan",20y 25d,19 (7-0-12 36.84%),10 (0.53),←,
1,"Fasolo, Alex",23y 306d,72 (44-0-28 61.11%),88 (1.22),←,
6,"Goldsack, Tyson",28y 323d,138 (88-0-50 63.77%),48 (0.35),←,
27,"Goodyear, Matthew",19y 264d,1 (0-0-1 0.00%),,←,
19,"Greenwood, Levi",27y 50d,85 (43-1-41 51.18%),31 (0.36),11 (3-0-8 27.27%),5 (0.45)
4,"Grundy, Brodie",21y 360d,43 (22-0-21 51.16%),14 (0.33),←,
38,"Howe, Jeremy",25y 285d,101 (22-0-79 21.78%),81 (0.80),1 (0-0-1 0.00%),1 (1.00)
8,"Langdon, Tom",21y 305d,44 (21-0-23 47.73%),2 (0.05),←,
37,"Maynard, Brayden",19y 202d,11 (2-0-9 18.18%),3 (0.27),←,
30,"Moore, Darcy",20y 75d,12 (3-0-9 25.00%),11 (0.92),←,
43,"Oxley, Adam",23y 160d,21 (11-0-10 52.38%),6 (0.29),←,
10,"Pendlebury, Scott",28y 93d,217 (136-2-79 63.13%),143 (0.66),←,
20,"Reid, Ben",26y 346d,106 (68-2-36 65.09%),37 (0.35),←,
28,"Sinclair, Ben",24y 191d,53 (32-0-21 60.38%),20 (0.38),←,
7,"Treloar, Adam",23y 31d,82 (21-0-61 25.61%),49 (0.60),3 (1-0-2 33.33%),1 (0.33)
26,"Williams, Marley",22y 262d,60 (32-0-28 53.33%),6 (0.10),←,
Totals,Totals,23y 330d,1684 (892-9-783 52.97%),1138 (0.68),,
C,"Buckley, Nathan",43y 258d,95 (53-0-42 55.79%),,←,
