Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
9,"Anthony, John",21y 152d,23 (14-0-9 60.87%),53 (2.30),←,
15,"Brown, Leigh",27y 117d,192 (85-1-106 44.53%),90 (0.47),11 (7-0-4 63.64%),6 (0.55)
18,"Clarke, Martin",21y 219d,46 (26-0-20 56.52%),16 (0.35),←,
32,"Cloke, Travis",22y 107d,87 (47-0-40 54.02%),103 (1.18),←,
12,"Cox, Shannon",23y 105d,24 (16-0-8 66.67%),5 (0.21),←,
1,"Davis, Leon",28y 3d,172 (86-0-86 50.00%),220 (1.28),←,
33,"Dick, Brad",20y 330d,12 (9-0-3 75.00%),15 (1.25),←,
4,"Didak, Alan",26y 125d,145 (81-0-64 55.86%),206 (1.42),←,
25,"Fraser, Josh",27y 166d,185 (100-0-85 54.05%),146 (0.79),←,
24,"Lockyer, Tarkyn",29y 233d,203 (99-0-104 48.77%),129 (0.64),←,
8,"Lumumba, Heritier",22y 217d,72 (41-0-31 56.94%),4 (0.06),←,
5,"Maxwell, Nick",26y 17d,105 (57-0-48 54.29%),26 (0.25),←,
11,"OBree, Shane",30y 97d,227 (114-0-113 50.22%),82 (0.36),208 (105-0-103 50.48%),79 (0.38)
10,"Pendlebury, Scott",21y 164d,67 (37-0-30 55.22%),39 (0.58),←,
35,"Prestigiacomo, Simon",31y 140d,207 (90-0-117 43.48%),3 (0.01),←,
39,"Shaw, Heath",23y 205d,79 (43-0-36 54.43%),19 (0.24),←,
22,"Sidebottom, Steele",18y 169d,6 (4-0-2 66.67%),3 (0.50),←,
36,"Swan, Dane",25y 115d,112 (59-0-53 52.68%),66 (0.59),←,
13,"Thomas, Dale",21y 364d,72 (41-0-31 56.94%),55 (0.76),←,
34,"Toovey, Alan",22y 89d,28 (17-0-11 60.71%),4 (0.14),←,
21,"Wellingham, Sharrod",20y 348d,19 (12-0-7 63.16%),7 (0.37),←,
19,"Wood, Cameron",22y 108d,33 (12-0-21 36.36%),6 (0.18),17 (9-0-8 52.94%),6 (0.35)
Totals,Totals,24y 113d,2116 (1090-1-1025 51.51%),1297 (0.61),,
C,"Malthouse, Mick",55y 307d,600 (335-4-261 56.17%),,222 (112-0-110 50.45%),
