Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
42,"Bevan, Paul",25y 272d,113 (60-2-51 53.98%),27 (0.24),←,
14,"Bird, Craig",21y 156d,39 (19-1-19 50.00%),14 (0.36),←,
24,"Bolton, Jude",30y 103d,246 (131-3-112 53.86%),117 (0.48),←,
37,"Goodes, Adam",30y 169d,265 (142-3-120 54.15%),291 (1.10),←,
39,"Grundy, Heath",24y 24d,59 (30-0-29 50.85%),18 (0.31),←,
4,"Hannebery, Dan",19y 122d,18 (9-0-9 50.00%),10 (0.56),←,
15,"Jack, Kieren",22y 363d,60 (28-1-31 47.50%),34 (0.57),←,
32,"Jetta, Lewis",21y 53d,12 (6-0-6 50.00%),,←,
12,"Kennedy, Josh",22y 6d,26 (12-0-14 46.15%),11 (0.42),13 (7-0-6 53.85%),7 (0.54)
31,"Kirk, Brett",33y 244d,230 (125-3-102 55.00%),92 (0.40),←,
9,"Malceski, Nick",25y 315d,81 (51-1-29 63.58%),40 (0.49),←,
29,"Mattner, Martin",27y 324d,157 (88-1-68 56.37%),35 (0.22),59 (28-1-30 48.31%),21 (0.36)
21,"McGlynn, Ben",24y 324d,50 (27-0-23 54.00%),40 (0.80),6 (4-0-2 66.67%),12 (2.00)
3,"McVeigh, Jarrad",25y 80d,136 (76-2-58 56.62%),94 (0.69),←,
41,"Mumford, Shane",23y 356d,32 (24-0-8 75.00%),4 (0.13),11 (7-0-4 63.64%),1 (0.09)
5,"OKeefe, Ryan",29y 153d,199 (110-2-87 55.78%),201 (1.01),←,
38,"Pyke, Mike",26y 94d,15 (5-0-10 33.33%),,←,
30,"Roberts-Thomson, Lewis",26y 291d,131 (75-1-55 57.63%),14 (0.11),←,
16,"Rohan, Gary",19y 19d,7 (2-0-5 28.57%),7 (1.00),←,
2,"Shaw, Rhyce",28y 253d,128 (62-0-66 48.44%),26 (0.20),34 (14-0-20 41.18%),6 (0.18)
40,"Smith, Nick",22y 14d,22 (7-0-15 31.82%),6 (0.27),←,
18,"White, Jesse",22y 168d,32 (13-1-18 42.19%),32 (1.00),←,
Totals,Totals,25y 61d,2058 (1102-21-935 53.55%),1113 (0.54),,
C,"Roos, Paul",46y 364d,191 (109-2-80 57.59%),,←,
