Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Bird, Craig",11,2,9,20,,,,4.0,,2.0,,3.0,1.0,2.0,,6.0,14.0,,,1.0,,2.0,89.0
24,"Bolton, Jude",7,3,5,12,1,2.0,,3.0,,2.0,,,1.0,,,6.0,6.0,1.0,1.0,,,,90.0
13,"Everitt, Andrejs",6,3,8,14,,,,1.0,2.0,2.0,,2.0,,1.0,,2.0,13.0,,,1.0,3.0,1.0,74.0
39,"Grundy, Heath",6,5,8,14,,,,1.0,4.0,,,4.0,,2.0,,2.0,11.0,,,5.0,,,100.0
4,"Hannebery, Dan",8,2,13,21,,1.0,,1.0,,2.0,3.0,2.0,,,,9.0,12.0,,1.0,,,,83.0
33 ↑,"Jack, Brandon",3,,,3,,,,,,2.0,,3.0,,1.0,,1.0,1.0,,,1.0,,,20.0
15,"Jack, Kieren",3,,13,16,1,,,4.0,,2.0,7.0,1.0,,,,12.0,5.0,,,1.0,,,87.0
12,"Kennedy, Josh",7,1,12,19,1,,,8.0,2.0,1.0,7.0,3.0,,1.0,,15.0,2.0,1.0,,1.0,,,85.0
9,"Malceski, Nick",15,2,5,20,,,,7.0,10.0,1.0,,5.0,2.0,3.0,,3.0,15.0,,,3.0,2.0,,84.0
21 ↓,"McGlynn, Ben",3,2,1,4,,,,,,2.0,,,,,,1.0,2.0,,,,,,56.0
3,"McVeigh, Jarrad",22,4,13,35,,,,5.0,5.0,2.0,8.0,2.0,3.0,1.0,1.0,17.0,16.0,,,1.0,,,95.0
6,"Mitchell, Tom",7,2,9,16,,1.0,,7.0,1.0,1.0,,3.0,,,,6.0,10.0,,,,,,76.0
41,"Mumford, Shane",6,4,4,10,,,28.0,6.0,1.0,4.0,5.0,,5.0,,,6.0,4.0,,,,,2.0,82.0
5,"OKeefe, Ryan",11,2,8,19,,,,6.0,1.0,4.0,4.0,1.0,1.0,1.0,,9.0,9.0,,1.0,1.0,,,85.0
26,"Parker, Luke",7,3,5,12,,,,4.0,,1.0,2.0,6.0,,1.0,,6.0,7.0,1.0,1.0,2.0,,1.0,74.0
38,"Pyke, Mike",4,5,8,12,,,18.0,3.0,,,3.0,,1.0,,,6.0,6.0,1.0,,2.0,,,82.0
43,"Rampe, Dane",7,4,,7,,,,,,2.0,,1.0,1.0,1.0,,1.0,6.0,,,5.0,,,93.0
25,"Richards, Ted",12,3,4,16,,,,2.0,7.0,1.0,,5.0,2.0,2.0,,7.0,11.0,,,14.0,,,98.0
2,"Shaw, Rhyce",12,9,5,17,1,1.0,,,4.0,3.0,,1.0,,,,2.0,14.0,,1.0,1.0,2.0,,79.0
40,"Smith, Nick",2,1,3,5,,,,3.0,1.0,,,,,,,2.0,3.0,,,4.0,,,87.0
8,"Tippett, Kurt",10,6,3,13,6,2.0,,1.0,,1.0,,,4.0,,,9.0,5.0,4.0,4.0,1.0,,,90.0
18,"White, Jesse",6,2,7,13,,2.0,3.0,,1.0,3.0,,3.0,,1.0,,6.0,6.0,,1.0,2.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,65,143,318,10,11.0,49.0,66.0,39.0,38.0,39.0,45.0,21.0,17.0,1.0,134.0,178.0,8.0,10.0,46.0,7.0,6.0,
Opposition,Opposition,206,83,182,388,14,16.0,32.0,64.0,28.0,57.0,36.0,48.0,17.0,21.0,5.0,147.0,244.0,13.0,12.0,44.0,12.0,10.0,
