Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
36,"Aliir, Aliir",25y 336d,59 (28-0-31 47.46%),4 (0.07),←,
32,"Bell, James",21y 178d,5 (2-0-3 40.00%),2 (0.40),←,
7,"Cunningham, Harry",26y 244d,123 (74-0-49 60.16%),48 (0.39),←,
34,"Dawson, Jordan",23y 119d,35 (13-0-22 37.14%),20 (0.57),←,
13,"Florent, Oliver",22y 15d,63 (29-0-34 46.03%),21 (0.33),←,
42,"Fox, Robbie",27y 112d,31 (10-0-21 32.26%),8 (0.26),←,
9,"Hayward, Will",21y 285d,62 (31-0-31 50.00%),67 (1.08),←,
19,"Ling, Matt",21y 107d,3 (1-0-2 33.33%),,←,
44,"Lloyd, Jake",26y 321d,147 (91-0-56 61.90%),30 (0.20),←,
30,"McCartin, Tom",20y 220d,41 (19-0-22 46.34%),27 (0.66),←,
43,"Melican, Lewis",23y 276d,39 (22-0-17 56.41%),1 (0.03),←,
14,"Mills, Callum",23y 126d,87 (47-0-40 54.02%),3 (0.03),←,
11,"Papley, Tom",24y 24d,92 (53-0-39 57.61%),141 (1.53),←,
26,"Parker, Luke",27y 286d,205 (127-1-77 62.20%),157 (0.77),←,
24,"Rampe, Dane",30y 65d,169 (106-1-62 63.02%),6 (0.04),←,
20,"Reid, Sam",28y 223d,146 (93-2-51 64.38%),155 (1.06),←,
8,"Rowbottom, James",19y 322d,22 (7-0-15 31.82%),6 (0.27),←,
18,"Sinclair, Callum",30y 318d,108 (68-1-39 63.43%),61 (0.56),79 (46-0-33 58.23%),43 (0.54)
3,"Stephens, Dylan",19y 211d,4 (1-0-3 25.00%),1 (0.25),←,
37,"Taylor, Elijah",19y 97d,4 (1-0-3 25.00%),1 (0.25),←,
6,"Thurlow, Jackson",26y 131d,56 (32-1-23 58.04%),13 (0.23),10 (4-0-6 40.00%),2 (0.20)
45,"Wicks, Sam",20y 327d,1 (0-0-1 0.00%),1 (1.00),←,
Totals,Totals,24y 65d,1502 (855-6-641 56.92%),773 (0.51),,
C,"Longmire, John",49y 219d,228 (142-2-84 62.72%),,←,
