Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bianco, Trent",5,1,3,8,1,,,4.0,1.0,1.0,1.0,,1.0,,,3.0,5.0,,,1.0,,,49.0
14,"Cameron, Darcy",13,2,4,17,1,1.0,16.0,5.0,2.0,3.0,5.0,1.0,2.0,1.0,,10.0,4.0,1.0,1.0,2.0,,3.0,82.0
46 ↓,"Cox, Mason",4,2,1,5,,,18.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,,,,49.0
25,"Crisp, Jack",19,2,10,29,1,,,6.0,2.0,10.0,11.0,4.0,4.0,1.0,,20.0,9.0,,,2.0,,,86.0
7,"Daicos, Josh",11,1,3,14,1,2.0,,5.0,,5.0,3.0,3.0,,2.0,,5.0,11.0,,,,,,89.0
35,"Daicos, Nick",14,5,9,23,1,,,4.0,5.0,5.0,,2.0,2.0,,,6.0,11.0,,,,1.0,,89.0
2,"de Goey, Jordan",7,3,5,12,,,,8.0,,2.0,6.0,6.0,,3.0,,10.0,6.0,,,4.0,1.0,,85.0
5,"Elliott, Jamie",7,4,,7,2,2.0,,1.0,,,,2.0,1.0,1.0,,3.0,5.0,,2.0,1.0,,,90.0
33,"Ginnivan, Jack",4,2,3,7,1,,,2.0,,2.0,,3.0,1.0,1.0,,5.0,3.0,,1.0,1.0,,1.0,76.0
32,"Hoskin-Elliott, Will",7,1,4,11,2,,,3.0,2.0,1.0,2.0,1.0,1.0,,,3.0,7.0,,,1.0,,1.0,77.0
38,"Howe, Jeremy",9,4,3,12,,,,1.0,3.0,1.0,,3.0,,1.0,,2.0,8.0,,,8.0,,,96.0
40,"Johnson, Ash",2,1,,2,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,66.0
15 ↑,"Kreuger, Nathan",3,,1,4,,1.0,5.0,3.0,1.0,,2.0,1.0,,,,1.0,2.0,,,2.0,,,35.0
1,"Lipinski, Patrick",8,4,11,19,,,,6.0,2.0,1.0,5.0,,,,,6.0,13.0,,,2.0,,1.0,82.0
37,"Maynard, Brayden",11,5,1,12,,,,6.0,8.0,2.0,1.0,3.0,,2.0,,3.0,8.0,1.0,,3.0,,,82.0
31,"McCreery, Beau",5,3,4,9,2,,,1.0,,4.0,,2.0,,,,2.0,7.0,,2.0,,3.0,,71.0
41,"Mihocek, Brody",7,3,1,8,1,,,3.0,,4.0,,3.0,,,,6.0,2.0,2.0,1.0,,,,80.0
30,"Moore, Darcy",9,7,11,20,,,,,4.0,1.0,1.0,2.0,,,,10.0,8.0,2.0,,9.0,2.0,,95.0
28,"Murphy, Nathan",1,2,3,4,,,,1.0,,1.0,,,,,,2.0,2.0,1.0,,9.0,,,78.0
9,"Noble, John",11,3,3,14,,,,1.0,1.0,1.0,,4.0,2.0,1.0,,5.0,10.0,,,1.0,1.0,,79.0
10,"Pendlebury, Scott",13,,16,29,,,,6.0,2.0,7.0,6.0,2.0,2.0,,,12.0,14.0,,,1.0,,1.0,93.0
3,"Quaynor, Isaac",9,6,9,18,,,,7.0,4.0,1.0,,4.0,3.0,1.0,,10.0,10.0,,,2.0,,,86.0
22,"Sidebottom, Steele",14,7,5,19,1,1.0,,4.0,2.0,8.0,3.0,2.0,,,,6.0,9.0,1.0,,2.0,1.0,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,68,110,303,14,10.0,39.0,80.0,40.0,62.0,47.0,51.0,20.0,15.0,,134.0,157.0,10.0,8.0,51.0,9.0,7.0,
Opposition,Opposition,217,83,103,320,14,11.0,31.0,75.0,48.0,56.0,44.0,55.0,15.0,20.0,,144.0,166.0,16.0,14.0,49.0,5.0,6.0,
