Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
36 ↓,"Amartey, Joel",6,6,1,7,1,2.0,,2.0,,,,1.0,,,,3.0,4.0,2.0,3.0,,,,58.0
22,"Blakey, Nick",18,5,1,19,,,,1.0,7.0,4.0,,2.0,2.0,,,2.0,10.0,,,6.0,,1.0,81.0
16,"Campbell, Braeden",7,3,2,9,,,,2.0,2.0,3.0,2.0,4.0,,2.0,,3.0,7.0,,,,,1.0,79.0
7,"Cunningham, Harry",9,7,9,18,,,,1.0,2.0,2.0,,2.0,,1.0,,6.0,13.0,,,3.0,,1.0,86.0
13,"Florent, Oliver",12,3,9,21,,,,3.0,3.0,,1.0,4.0,,2.0,,9.0,10.0,,,2.0,2.0,,88.0
42,"Fox, Robbie",7,2,5,12,,,,3.0,,2.0,,4.0,2.0,1.0,,5.0,7.0,,1.0,3.0,,,93.0
4,"Grundy, Brodie",5,1,3,8,,,22.0,6.0,,2.0,4.0,9.0,4.0,7.0,,7.0,1.0,,,3.0,,1.0,71.0
21,"Gulden, Errol",21,8,9,30,,1.0,,2.0,2.0,7.0,1.0,3.0,,1.0,1.0,4.0,26.0,,,1.0,,2.0,92.0
9,"Hayward, Will",6,4,4,10,,1.0,,5.0,,2.0,,4.0,1.0,2.0,,3.0,7.0,,,1.0,,,83.0
5,"Heeney, Isaac",15,7,14,29,2,2.0,,4.0,,6.0,4.0,2.0,1.0,,2.0,13.0,14.0,3.0,4.0,1.0,,2.0,82.0
17,"Jordon, James",8,5,11,19,,,,4.0,1.0,2.0,2.0,1.0,1.0,,,5.0,15.0,,,2.0,,,81.0
44,"Lloyd, Jake",9,6,7,16,,,,3.0,,2.0,,4.0,,1.0,,5.0,11.0,,,1.0,,,76.0
30,"McCartin, Tom",12,7,3,15,,,,2.0,4.0,1.0,,2.0,1.0,1.0,,2.0,11.0,1.0,,8.0,,,90.0
6,"McDonald, Logan",11,8,4,15,4,2.0,,1.0,,3.0,,,1.0,,,8.0,8.0,1.0,5.0,1.0,,1.0,80.0
27,"McInerney, Justin",9,4,12,21,1,,,2.0,2.0,4.0,3.0,4.0,1.0,1.0,,8.0,11.0,,1.0,3.0,2.0,,87.0
2,"McLean, Hayden",6,2,6,12,1,,4.0,2.0,,1.0,2.0,3.0,3.0,2.0,,7.0,5.0,,,5.0,,1.0,79.0
43,"Melican, Lewis",8,5,1,9,,,,4.0,,2.0,,2.0,,,,3.0,6.0,1.0,,6.0,,1.0,75.0
11,"Papley, Tom",12,4,5,17,1,1.0,,2.0,,1.0,,1.0,1.0,,,2.0,13.0,,2.0,1.0,,,79.0
24,"Rampe, Dane",8,2,6,14,,,,,6.0,,1.0,3.0,,1.0,,3.0,10.0,,,4.0,,,84.0
34,"Roberts, Matt",10,5,5,15,,,,4.0,6.0,1.0,1.0,1.0,,1.0,,2.0,12.0,,,3.0,,,82.0
8,"Rowbottom, James",7,1,9,16,1,1.0,,13.0,1.0,2.0,2.0,,3.0,,,9.0,7.0,,,2.0,1.0,1.0,74.0
1,"Warner, Chad",15,4,12,27,3,,,4.0,1.0,4.0,7.0,1.0,,1.0,3.0,11.0,17.0,,2.0,,,,77.0
15 ↑,"Wicks, Sam",1,1,1,2,1,,,2.0,,,,2.0,,1.0,,1.0,1.0,,1.0,,,,22.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,100,139,361,15,12.0,26.0,72.0,37.0,51.0,30.0,59.0,21.0,25.0,6.0,121.0,226.0,8.0,19.0,56.0,5.0,12.0,
Opposition,Opposition,209,94,139,348,10,9.0,38.0,51.0,36.0,47.0,35.0,61.0,25.0,21.0,,127.0,218.0,8.0,9.0,41.0,4.0,7.0,
