Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Banks, Denis",31y 287d,157 (93-1-63 59.55%),110 (0.70),←,
28,"Crosisca, Gavin",22y 196d,74 (46-2-26 63.51%),35 (0.47),←,
35,"Daicos, Peter",29y 191d,209 (121-3-85 58.61%),417 (2.00),←,
2,"Francis, Tony",21y 363d,18 (12-1-5 69.44%),17 (0.94),←,
3,"Gayfer, Michael",25y 225d,93 (55-1-37 59.68%),1 (0.01),←,
23,"Kelly, Craig",24y 287d,42 (25-1-16 60.71%),19 (0.45),←,
44,"Kerrison, Shane",26y 2d,87 (49-1-37 56.90%),9 (0.10),←,
30,"Manson, James",24y 148d,90 (52-2-36 58.89%),77 (0.86),←,
34,"McGuane, Mick",23y 91d,66 (40-2-24 62.12%),29 (0.44),←,
5,"McKeown, Ron",23y 324d,86 (48-2-36 56.98%),66 (0.77),←,
42,"Millane, Darren",25y 233d,131 (74-2-55 57.25%),64 (0.49),←,
1,"Monkhorst, Damian",21y 221d,42 (28-1-13 67.86%),5 (0.12),←,
7,"Morwood, Shane",29y 119d,164 (98-2-64 60.37%),81 (0.49),147 (89-2-56 61.22%),68 (0.46)
13,"Richardson, Alan",25y 317d,26 (18-1-7 71.15%),7 (0.27),←,
29,"Russell, Scott",20y 327d,28 (20-1-7 73.21%),17 (0.61),←,
27,"Starcevich, Craig",23y 318d,66 (38-2-26 59.09%),96 (1.45),←,
9,"Tarpey, Andrew",25y 248d,6 (4-0-2 66.67%),1 (0.17),←,
6,"Tuddenham, Paul",23y 197d,33 (20-0-13 60.61%),29 (0.88),←,
24,"Turner, Jamie",28y 230d,129 (73-2-54 57.36%),25 (0.19),←,
37,"Williams, Paul",17y 361d,2 (1-0-1 50.00%),2 (1.00),←,
Totals,Totals,24y 307d,1549 (915-27-607 59.07%),1107 (0.71),,
C,"Matthews, Leigh",39y 29d,116 (67-2-47 58.62%),,←,
