Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",13,9,8,21,,,,2.0,8.0,2.0,1.0,3.0,2.0,2.0,,7,15,,,4.0,,,87.0
18,"Banfield, Todd",4,1,4,8,1.0,,,5.0,,2.0,1.0,1.0,4.0,,,8,1,1.0,,,1.0,,82.0
20,"Black, Simon",17,4,9,26,,,,4.0,1.0,3.0,4.0,3.0,,1.0,,9,17,,,,,,71.0
1,"Clark, Mitch",6,2,4,10,,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,7,4,1.0,,5.0,,2.0,85.0
44,"Cornelius, Aaron",7,5,2,9,2.0,1.0,,2.0,,2.0,,2.0,1.0,2.0,,5,4,2.0,3.0,1.0,,1.0,79.0
39,"Drummond, Josh",15,4,1,16,,,,1.0,6.0,,,3.0,2.0,1.0,,5,6,1.0,,12.0,,,89.0
41,"Golby, Mitch",6,5,6,12,,,,4.0,2.0,,,3.0,,2.0,,2,11,,,4.0,1.0,,88.0
11,"Hanley, Pearce",10,5,7,17,,,,4.0,4.0,,,2.0,,,,2,12,,,2.0,,,89.0
28 ↓,"Karnezis, Patrick",1,1,2,3,,1.0,,,,,1.0,1.0,,1.0,,2,1,,1.0,1.0,,,52.0
23,"Leuenberger, Matthew",9,7,15,24,,,33.0,1.0,2.0,2.0,1.0,1.0,3.0,,,11,13,2.0,,4.0,,,84.0
36,"Maguire, Matt",9,6,4,13,,,,2.0,7.0,1.0,,4.0,,1.0,,7,7,3.0,,9.0,,,98.0
9,"McGrath, Ashley",7,2,4,11,3.0,1.0,,3.0,,4.0,1.0,1.0,,1.0,,4,7,,1.0,2.0,3.0,,94.0
40,"McKeever, Niall",5,4,7,12,1.0,,,,2.0,1.0,,2.0,1.0,1.0,,7,5,,,4.0,,,100.0
31,"Polkinghorne, James",12,6,9,21,,1.0,,1.0,3.0,1.0,3.0,2.0,,1.0,,7,15,,1.0,,,1.0,83.0
6,"Power, Luke",16,3,9,25,1.0,,,4.0,2.0,7.0,1.0,4.0,1.0,2.0,,4,20,,1.0,,,2.0,83.0
29,"Raines, Andrew",5,1,9,14,,,,2.0,,1.0,1.0,3.0,,2.0,,5,11,,,1.0,,,85.0
30,"Redden, Jack",17,9,12,29,,1.0,2.0,4.0,3.0,2.0,5.0,4.0,2.0,2.0,,16,13,3.0,,1.0,,,89.0
10 ↑,"Rich, Daniel",6,2,7,13,,,,2.0,2.0,2.0,2.0,2.0,,,,4,9,,,,,,33.0
38,"Rockliff, Tom",13,7,17,30,2.0,,,4.0,3.0,2.0,3.0,2.0,1.0,,1.0,9,23,,,2.0,1.0,1.0,82.0
3,"Sheldon, Sam",8,7,3,11,1.0,,,7.0,,2.0,,1.0,,,,2,9,,,1.0,2.0,1.0,80.0
14,"Staker, Brent",8,5,2,10,2.0,,,3.0,1.0,1.0,,1.0,,,,3,8,1.0,2.0,1.0,,,91.0
32,"Stiller, Cheynee",7,3,13,20,,,,5.0,1.0,1.0,1.0,,1.0,,,7,13,,,,,1.0,76.0
Totals,Totals,201,98,154,355,13.0,6.0,40.0,63.0,48.0,39.0,27.0,46.0,19.0,20.0,1.0,133,224,14.0,9.0,54.0,8.0,9.0,
Opposition,Opposition,240,89,152,392,14.0,18.0,31.0,45.0,25.0,71.0,42.0,45.0,20.0,19.0,5.0,162,218,16.0,18.0,51.0,6.0,7.0,
