Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",29y 56d,201 (136-1-64 67.91%),84 (0.42),59 (46-1-12 78.81%),26 (0.44)
17,"Beams, Dayne",23y 158d,85 (63-2-20 75.29%),90 (1.06),←,
32,"Cloke, Travis",26y 137d,189 (122-2-65 65.08%),328 (1.74),←,
41,"Dwyer, Sam",26y 325d,14 (8-0-6 57.14%),14 (1.00),←,
19,"Elliott, Jamie",20y 333d,30 (20-0-10 66.67%),28 (0.93),←,
6,"Goldsack, Tyson",26y 59d,97 (65-0-32 67.01%),37 (0.38),←,
25,"Hudson, Ben",34y 146d,168 (98-1-69 58.63%),19 (0.11),7 (3-0-4 42.86%),1 (0.14)
23,"Keeffe, Lachlan",23y 97d,15 (12-0-3 80.00%),5 (0.33),←,
7,"Krakouer, Andrew",30y 166d,137 (61-0-76 44.53%),152 (1.11),35 (27-0-8 77.14%),50 (1.43)
3,"Macaffer, Brent",25y 142d,45 (31-2-12 71.11%),26 (0.58),←,
5,"Maxwell, Nick",30y 47d,191 (123-2-66 64.92%),29 (0.15),←,
48,"Mooney, Caolan",20y 176d,6 (2-0-4 33.33%),2 (0.33),←,
10,"Pendlebury, Scott",25y 194d,164 (110-2-52 67.68%),109 (0.66),←,
20,"Reid, Ben",24y 82d,88 (60-2-26 69.32%),14 (0.16),←,
40,"Seedsman, Paul",21y 179d,25 (16-0-9 64.00%),9 (0.36),←,
39,"Shaw, Heath",27y 235d,166 (106-2-58 64.46%),37 (0.22),←,
22,"Sidebottom, Steele",22y 199d,101 (74-2-25 74.26%),79 (0.78),←,
28,"Sinclair, Ben",21y 292d,35 (23-0-12 65.71%),18 (0.51),←,
36,"Swan, Dane",29y 145d,212 (133-2-77 63.21%),170 (0.80),←,
24,"Thomas, Josh",21y 292d,12 (9-0-3 75.00%),5 (0.42),←,
46,"Williams, Marley",19y 363d,15 (11-0-4 73.33%),2 (0.13),←,
15,"Witts, Jarrod",20y 310d,6 (4-0-2 66.67%),4 (0.67),←,
Totals,Totals,25y 38d,2002 (1287-20-695 64.29%),1261 (0.63),,
C,"Buckley, Nathan",40y 359d,41 (27-0-14 65.85%),,←,
