Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",4,2,8,12,,1.0,,3.0,,,,4.0,1.0,1.0,,7.0,5.0,1.0,,,1.0,,76.0
31,"Ballard, Charlie",5,1,1,6,,,,2.0,1.0,,,1.0,,,,3.0,3.0,1.0,,3.0,,,87.0
32,"Crossley, Brayden",5,3,4,9,1,2.0,5.0,3.0,,,1.0,1.0,,,,4.0,6.0,1.0,2.0,3.0,,,80.0
45,"Dawson, Jacob",5,2,12,17,1,,,3.0,,1.0,1.0,3.0,1.0,,,10.0,8.0,,,1.0,,,73.0
5,"Harbrow, Jarrod",25,12,4,29,,,,1.0,5.0,3.0,1.0,7.0,1.0,1.0,,7.0,22.0,,,3.0,,,82.0
39,"Holman, Nick",10,3,8,18,2,1.0,,5.0,,3.0,,6.0,1.0,3.0,,9.0,7.0,1.0,,,,2.0,84.0
38,"Joyce, Jesse",14,7,4,18,,,,2.0,4.0,2.0,,4.0,1.0,1.0,,7.0,11.0,1.0,,3.0,,,87.0
23,"Lemmens, Sean",8,2,6,14,,,,5.0,2.0,4.0,,3.0,,2.0,,6.0,9.0,,,1.0,,,79.0
25,"Lyons, Jarryd",17,3,15,32,,1.0,,6.0,1.0,5.0,12.0,4.0,1.0,1.0,,20.0,11.0,,,,,,78.0
4,"Martin, Jack",12,4,10,22,1,1.0,,4.0,,6.0,4.0,3.0,1.0,2.0,,9.0,11.0,1.0,1.0,3.0,,1.0,78.0
17,"May, Steven",18,14,7,25,,,,1.0,2.0,1.0,1.0,6.0,2.0,,,8.0,16.0,2.0,,7.0,,,90.0
11,"Miller, Touk",16,6,17,33,,1.0,,3.0,6.0,5.0,7.0,2.0,1.0,,,15.0,18.0,,,1.0,,,85.0
27,"Powell, Wil",7,4,3,10,1,,,1.0,,2.0,,1.0,,,,2.0,8.0,,1.0,1.0,,,75.0
35,"Rischitelli, Michael",6,4,4,10,,,,1.0,1.0,2.0,1.0,1.0,,,,4.0,6.0,,,2.0,,,79.0
36,"Schoenfeld, Josh",5,3,12,17,1,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,4.0,14.0,,,,,,84.0
6,"Sexton, Alex",8,5,8,16,,,,1.0,2.0,3.0,,2.0,,1.0,,3.0,13.0,,,2.0,5.0,,80.0
24,"Swallow, David",17,6,15,32,,1.0,,6.0,3.0,5.0,5.0,1.0,2.0,,,14.0,18.0,1.0,,2.0,,,76.0
16,"Thompson, Rory",6,1,6,12,,,,,1.0,1.0,,2.0,,2.0,,6.0,3.0,,,9.0,,,96.0
14,"Weller, Lachie",22,10,4,26,,,,3.0,6.0,6.0,3.0,1.0,,,,5.0,21.0,,,1.0,,,85.0
28,"Witts, Jarrod",6,3,9,15,,,25.0,3.0,,1.0,1.0,5.0,,1.0,,9.0,6.0,1.0,1.0,3.0,,,81.0
30,"Wright, Peter",3,2,4,7,,,4.0,4.0,,2.0,,5.0,1.0,3.0,,6.0,3.0,1.0,,3.0,,,82.0
15,"Young, Aaron",10,4,8,18,1,1.0,,3.0,,6.0,,5.0,,,,3.0,13.0,1.0,,1.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,101,169,398,8,12.0,34.0,62.0,35.0,58.0,39.0,68.0,14.0,19.0,,161.0,232.0,12.0,5.0,49.0,6.0,3.0,
Opposition,Opposition,219,84,192,411,14,15.0,56.0,69.0,46.0,52.0,43.0,48.0,19.0,14.0,6.0,164.0,256.0,6.0,11.0,70.0,8.0,8.0,
