Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",23y 144d,36 (22-1-13 62.50%),29 (0.81),←,
8,"Bewick, Darren",27y 223d,140 (85-1-54 61.07%),219 (1.56),←,
36,"Cummings, Scott",21y 73d,11 (6-0-5 54.55%),32 (2.91),←,
7,"Daniher, Chris",29y 1d,68 (37-1-30 55.15%),17 (0.25),←,
20,"Darcy, Tim",31y 76d,177 (97-0-80 54.80%),83 (0.47),1 (1-0-0 100.00%),
38,"Denham, Sean",25y 337d,97 (55-1-41 57.22%),41 (0.42),53 (31-1-21 59.43%),20 (0.38)
31,"Fletcher, Dustin",19y 329d,31 (21-1-9 69.35%),2 (0.06),←,
29,"Grenvold, David",29y 26d,89 (58-1-30 65.73%),16 (0.18),←,
1,"Harvey, Mark",29y 294d,166 (110-1-55 66.57%),164 (0.99),←,
5,"Hird, James",22y 56d,41 (24-1-16 59.76%),64 (1.56),←,
33,"Lewfatt, Shawn",18y 21d,1 (1-0-0 100.00%),1 (1.00),←,
13,"Long, Michael",25y 182d,103 (67-0-36 65.05%),70 (0.68),←,
2,"Mercuri, Mark",21y 39d,37 (23-1-13 63.51%),44 (1.19),←,
24,"Misiti, Joe",20y 143d,42 (25-1-16 60.71%),19 (0.45),←,
10,"ODonnell, Gary",29y 324d,158 (97-1-60 61.71%),53 (0.34),←,
47,"Olarenshaw, Ricky",22y 59d,27 (17-0-10 62.96%),7 (0.26),←,
3,"Salmon, Paul",30y 71d,197 (117-1-79 59.64%),472 (2.40),←,
19,"Somerville, Peter",26y 267d,77 (47-0-30 61.04%),63 (0.82),←,
12,"Symons, Michael",23y 197d,41 (26-0-15 63.41%),53 (1.29),←,
4,"Wanganeen, Gavin",21y 287d,84 (47-1-36 56.55%),39 (0.46),←,
35,"Young, Barry",24y 279d,69 (28-0-41 40.58%),36 (0.52),16 (9-0-7 56.25%),13 (0.81)
Totals,Totals,24y 337d,1692 (1010-13-669 59.69%),1524 (0.90),,
C,"Sheedy, Kevin",47y 98d,330 (213-2-115 64.85%),,←,
