Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ambrose, Patrick",3,3,8,11,,1.0,,3.0,,,1.0,2.0,1.0,1.0,,6.0,5.0,,1.0,1.0,,,90.0
12,"Baguley, Mark",14,9,4,18,,,,3.0,3.0,2.0,,4.0,2.0,3.0,,4.0,14.0,1.0,,2.0,,,91.0
24 ↓,"Browne, Alex",3,1,1,4,,,1.0,,2.0,1.0,,1.0,,1.0,,,5.0,,,,,,48.0
22,"Carlisle, Jake",13,12,8,21,,,,,4.0,,,2.0,,2.0,,7.0,13.0,1.0,,5.0,,,90.0
13,"Cooney, Adam",9,4,10,19,,1.0,,1.0,,3.0,2.0,3.0,,,,10.0,10.0,1.0,,,,,80.0
6,"Daniher, Joe",9,6,2,11,1,1.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,,7.0,4.0,4.0,2.0,1.0,,,91.0
27,"Giles, Jonathan",9,3,2,11,,,25.0,2.0,,2.0,5.0,3.0,1.0,,,10.0,2.0,1.0,,3.0,,,86.0
35,"Gleeson, Martin",11,7,4,15,,,,3.0,3.0,2.0,,,1.0,,,5.0,11.0,1.0,,1.0,,,83.0
9,"Goddard, Brendon",14,7,10,24,,,,2.0,4.0,4.0,1.0,2.0,,1.0,,3.0,19.0,,1.0,2.0,,1.0,86.0
42,"Gwilt, James",15,11,6,21,,,,,6.0,1.0,,2.0,,2.0,,5.0,16.0,2.0,,1.0,,,90.0
21,"Heppell, Dyson",11,5,23,34,,,3.0,4.0,1.0,1.0,9.0,2.0,,,,16.0,16.0,,1.0,1.0,1.0,1.0,87.0
1,"Hibberd, Michael",15,6,14,29,,1.0,,2.0,4.0,3.0,1.0,1.0,1.0,,,5.0,24.0,,,2.0,,,84.0
26,"Hooker, Cale",11,8,8,19,1,2.0,,2.0,2.0,,,1.0,1.0,1.0,,10.0,9.0,4.0,3.0,2.0,,,94.0
30,"Langford, Kyle",4,3,3,7,1,,,5.0,,2.0,,3.0,1.0,,,1.0,7.0,,2.0,1.0,,1.0,88.0
33,"Laverde, Jayden",10,5,6,16,,,,1.0,1.0,4.0,,,,,,3.0,12.0,1.0,1.0,1.0,1.0,,82.0
17,"Melksham, Jake",3,2,6,9,,1.0,,,,,,1.0,,1.0,,1.0,8.0,1.0,,1.0,,,82.0
20 ↑,"Merrett, Jackson",6,2,3,9,,,1.0,,,,2.0,2.0,,,,2.0,7.0,,1.0,,,,43.0
7,"Merrett, Zach",11,2,19,30,1,,,6.0,2.0,6.0,3.0,4.0,2.0,,,11.0,19.0,,,1.0,,,78.0
10,"OBrien, Nick",7,1,9,16,,,,2.0,,2.0,3.0,2.0,,1.0,,7.0,12.0,,,,,,70.0
5,"Stanton, Brent",21,9,11,32,1,,,6.0,4.0,3.0,,1.0,1.0,,,7.0,25.0,,1.0,4.0,2.0,,89.0
25,"Steinberg, Ariel",3,3,12,15,,,,3.0,1.0,,,,1.0,,,4.0,10.0,,,1.0,,,87.0
11,"Zaharakis, David",8,4,7,15,,,,4.0,1.0,2.0,,,,,,1.0,14.0,,,,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,113,176,386,5,10.0,32.0,50.0,40.0,41.0,28.0,40.0,13.0,16.0,,125.0,262.0,17.0,13.0,30.0,4.0,3.0,
Opposition,Opposition,232,107,194,426,19,13.0,27.0,58.0,33.0,63.0,32.0,39.0,16.0,13.0,6.0,138.0,291.0,13.0,16.0,47.0,21.0,11.0,
