Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",22y 135d,88 (49-0-39 55.68%),82 (0.93),←,
12,"Cordy, Zaine",21y 163d,33 (19-0-14 57.58%),8 (0.24),←,
6,"Dahlhaus, Luke",25y 230d,140 (66-0-74 47.14%),108 (0.77),←,
31,"Dale, Bailey",21y 260d,33 (16-0-17 48.48%),29 (0.88),←,
35,"Daniel, Caleb",21y 275d,56 (34-0-22 60.71%),22 (0.39),←,
29,"Dickson, Tory",30y 194d,89 (44-0-45 49.44%),149 (1.67),←,
5,"Dunkley, Josh",21y 89d,27 (17-0-10 62.96%),19 (0.70),←,
44,"English, Tim",20y 241d,5 (2-0-3 40.00%),,←,
26,"Gowers, Billy",21y 302d,3 (1-0-2 33.33%),3 (1.00),←,
22,"Honeychurch, Mitch",23y 37d,25 (13-0-12 52.00%),13 (0.52),←,
7,"Hunter, Lachie",23y 116d,87 (46-0-41 52.87%),47 (0.54),←,
39,"Johannisen, Jason",25y 151d,87 (43-0-44 49.43%),29 (0.33),←,
46,"Jong, Lin",24y 308d,53 (25-0-28 47.17%),26 (0.49),←,
11,"Macrae, Jack",23y 248d,102 (53-0-49 51.96%),24 (0.24),←,
16,"McLean, Toby",22y 67d,41 (25-0-16 60.98%),31 (0.76),←,
33,"Naughton, Aaron",18y 129d,3 (1-0-2 33.33%),,←,
43,"Redpath, Jack",27y 116d,35 (22-0-13 62.86%),56 (1.60),←,
20,"Richards, Ed",18y 279d,2 (1-0-1 50.00%),,←,
1,"Suckling, Matt",29y 257d,144 (100-0-44 69.44%),68 (0.47),42 (25-0-17 59.52%),17 (0.40)
3,"Wallis, Mitch",25y 166d,106 (49-0-57 46.23%),49 (0.46),←,
34,"Williams, Bailey",20y 180d,21 (10-0-11 47.62%),1 (0.05),←,
10,"Wood, Easton",28y 216d,128 (69-0-59 53.91%),18 (0.14),←,
Totals,Totals,23y 206d,1308 (705-0-603 53.90%),782 (0.60),,
C,"Beveridge, Luke",47y 228d,74 (45-0-29 60.81%),,←,
