Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
37,"Clarke, Dylan",22y 336d,22 (10-1-11 47.73%),5 (0.23),←,
13,"Cox, Nik",19y 205d,20 (9-0-11 45.00%),9 (0.45),←,
12,"Cutler, Tom",26y 169d,84 (25-1-58 30.36%),35 (0.42),18 (7-1-10 41.67%),3 (0.17)
2,"Draper, Sam",22y 314d,18 (4-0-14 22.22%),3 (0.17),←,
42,"Durham, Sam",20y 30d,4 (2-0-2 50.00%),,←,
10,"Francis, Aaron",23y 363d,47 (21-1-25 45.74%),8 (0.17),←,
8,"Gleeson, Martin",26y 348d,95 (34-2-59 36.84%),5 (0.05),←,
35,"Guelfi, Matt",23y 359d,60 (31-1-28 52.50%),12 (0.20),←,
19,"Hind, Nick",26y 354d,41 (18-0-23 43.90%),20 (0.49),20 (9-0-11 45.00%),3 (0.15)
15,"Laverde, Jayden",25y 118d,66 (29-0-37 43.94%),37 (0.56),←,
43,"McDonald-Tipungwuti, Anthony",28y 108d,126 (54-1-71 43.25%),153 (1.21),←,
7,"Merrett, Zach",25y 309d,162 (69-2-91 43.21%),50 (0.31),←,
3,"Parish, Darcy",24y 14d,113 (47-1-65 42.04%),46 (0.41),←,
16,"Perkins, Archie",19y 135d,18 (9-0-9 50.00%),7 (0.39),←,
27,"Redman, Mason",23y 347d,57 (27-1-29 48.25%),6 (0.11),←,
14,"Ridley, Jordan",22y 292d,45 (19-1-25 43.33%),,←,
9,"Shiel, Dylan",28y 152d,177 (76-4-97 44.07%),80 (0.45),42 (17-1-24 41.67%),16 (0.38)
5,"Smith, Devon",28y 80d,171 (65-3-103 38.89%),139 (0.81),62 (27-1-34 44.35%),39 (0.63)
40,"Snelling, Will",24y 2d,39 (17-1-21 44.87%),22 (0.56),38 (16-1-21 43.42%),21 (0.55)
17,"Stewart, James",27y 157d,69 (29-1-39 42.75%),66 (0.96),51 (21-1-29 42.16%),48 (0.94)
25,"Stringer, Jake",27y 105d,154 (79-0-75 51.30%),270 (1.75),65 (31-0-34 47.69%),110 (1.69)
45,"Waterman, Alec",24y 354d,11 (6-0-5 54.55%),11 (1.00),←,
20,"Wright, Peter",24y 334d,84 (21-0-63 25.00%),110 (1.31),18 (8-0-10 44.44%),25 (1.39)
Totals,Totals,24y 264d,1683 (701-21-961 41.65%),1094 (0.65),,
C,"Rutten, Ben",38y 72d,20 (9-0-11 45.00%),,←,
