Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Ablett, Gary",14,3,2,16,2,5.0,,1.0,,,,,2.0,2.0,,,,,,,,,
27,"Bews, Andrew",18,3,8,26,,1.0,,1.0,,,,,2.0,2.0,3.0,,,,,,,,
31,"Bourke, Tim",2,,2,4,,,4.0,,,,,,1.0,,,,,,,,,,
16,"Brownless, Bill",13,6,12,25,1,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,
36,"Cameron, David",8,2,3,11,2,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
7,"Couch, Paul",9,,12,21,1,,,4.0,,,,,1.0,,,,,,,,,,
28,"Darcy, Tim",4,2,2,6,,,,,,,,,1.0,,,,,,,,,,
18,"Denham, Sean",7,1,13,20,,,,7.0,,,,,3.0,2.0,,,,,,,,,
14,"Flanigan, Darren",10,5,10,20,,,13.0,2.0,,,,,1.0,1.0,,,,,,,,,
48,"Gurrie, Michael",5,,3,8,,,,,,,,,1.0,2.0,,,,,,,,,
32,"Hocking, Garry",19,3,7,26,1,3.0,,2.0,,,,,3.0,2.0,,,,,,,,,
1,"Hocking, Steve",4,1,11,15,,,,2.0,,,,,2.0,,,,,,,,,,
12,"Malakellis, Spiro",16,3,9,25,1,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
38,"McCrabb, Austin",16,4,4,20,,,,3.0,,,,,3.0,4.0,,,,,,,,,
11,"Morgan, Darren",10,1,4,14,,,,1.0,,,,,,,,,,,,,,,
24,"Poole, Trevor",3,1,1,4,,1.0,,1.0,,,,,,,,,,,,,,,
20,"Rogers, Andrew",7,3,5,12,,,,,,,,,,1.0,,,,,,,,,
8,"Scott, Robert",10,4,4,14,3,,,1.0,,,,,,5.0,2.0,,,,,,,,
9,"Sterrett, Ray",11,4,8,19,,,,2.0,,,,,,,,,,,,,,,
26,"Stoneham, Barry",14,4,2,16,1,1.0,,2.0,,,,,2.0,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,50,122,322,12,17.0,19.0,33.0,,,,,27.0,28.0,5.0,,,,,,,,
Opposition,Opposition,194,65,82,276,11,15.0,15.0,34.0,,,,,28.0,27.0,1.0,,,,,,,,
