Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Burns, Ronnie",7,5,4,11,,2.0,,3.0,,5.0,1.0,4.0,,3.0,,7.0,4.0,2.0,1.0,1.0,,,
35,"Chapman, Paul",12,3,6,18,1,1.0,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,4.0,11.0,,,3.0,,,
14,"Clarke, David",14,8,4,18,,,,3.0,2.0,3.0,2.0,1.0,,1.0,,4.0,12.0,,,,1.0,,
11,"Corey, Joel",8,,7,15,,,,1.0,1.0,1.0,4.0,3.0,,3.0,,7.0,8.0,,,4.0,,,
44,"Enright, Corey",5,3,3,8,,,,3.0,2.0,1.0,1.0,2.0,,2.0,,3.0,5.0,,,3.0,,,
23,"Foster, Daniel",8,3,3,11,,,,3.0,2.0,,1.0,2.0,,,,2.0,8.0,,,1.0,2.0,,
7,"Graham, Ben",8,5,2,10,,,,,5.0,2.0,,1.0,1.0,,,3.0,7.0,2.0,,8.0,,,
2,"Harley, Tom",7,4,3,10,,,,,2.0,1.0,,,2.0,,,5.0,6.0,,,3.0,,,
41,"Hunt, Josh",1,,1,2,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,
20,"Johnson, Steve",6,5,8,14,1,,,6.0,,3.0,1.0,1.0,2.0,1.0,,7.0,8.0,,1.0,1.0,,,
9,"Kelly, James",13,3,10,23,,,,3.0,2.0,7.0,4.0,3.0,2.0,,,11.0,12.0,2.0,,3.0,3.0,,
13,"Kilpatrick, Glenn",9,2,2,11,,,,1.0,1.0,3.0,1.0,2.0,,,,5.0,4.0,,,1.0,,,
1,"King, Steven",13,7,7,20,,,23.0,1.0,1.0,2.0,4.0,2.0,2.0,,,8.0,15.0,,,5.0,,,
18,"Kingsley, Kent",12,7,4,16,6,3.0,1.0,2.0,,3.0,,1.0,,,2.0,11.0,4.0,4.0,3.0,4.0,,,
24,"Lord, Aaron",8,4,5,13,1,,,,3.0,2.0,2.0,,2.0,,,4.0,9.0,,,2.0,,,
39,"Milburn, Darren",7,2,7,14,,,1.0,2.0,1.0,3.0,3.0,3.0,,1.0,1.0,6.0,8.0,,,5.0,,,
21,"Mooney, Cameron",10,5,4,14,3,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,,6.0,8.0,1.0,3.0,3.0,1.0,,
34,"Rahilly, James",12,4,15,27,,,,5.0,,7.0,6.0,1.0,,,,14.0,13.0,1.0,,3.0,,,
15,"Riccardi, Peter",13,3,4,17,2,3.0,,4.0,1.0,4.0,3.0,2.0,,1.0,3.0,6.0,11.0,1.0,2.0,6.0,,,
30,"Scarlett, Matthew",9,5,3,12,,,,3.0,3.0,1.0,,3.0,,3.0,,3.0,9.0,1.0,,3.0,,,
12,"Sholl, Brad",6,2,5,11,,,1.0,,1.0,1.0,,,2.0,,,5.0,10.0,1.0,,1.0,,,
40,"Wojcinski, David",4,1,4,8,,,,,2.0,1.0,2.0,,,,,5.0,3.0,1.0,,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,81,111,303,14,11.0,28.0,46.0,31.0,53.0,38.0,35.0,14.0,17.0,6.0,127.0,176.0,16.0,10.0,62.0,7.0,,
Opposition,Opposition,188,80,85,273,8,8.0,30.0,42.0,34.0,40.0,34.0,45.0,17.0,14.0,,114.0,159.0,10.0,7.0,64.0,14.0,,
