Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartel, Jimmy",7,4,5,12,1,,,6.0,1.0,1.0,,3.0,,1.0,,5.0,8.0,1.0,2.0,3.0,,,93.0
46,"Blicavs, Mark",4,5,10,14,,,5.0,2.0,,1.0,1.0,2.0,,1.0,,4.0,10.0,1.0,,3.0,,,94.0
23,"Caddy, Josh",6,4,17,23,1,,,6.0,,3.0,2.0,2.0,,,,13.0,11.0,2.0,1.0,1.0,1.0,,74.0
5,"Cockatoo, Nakia",9,4,4,13,1,2.0,,7.0,,1.0,1.0,2.0,2.0,1.0,,7.0,7.0,,3.0,1.0,,1.0,82.0
35,"Dangerfield, Patrick",14,5,13,27,,,,2.0,2.0,7.0,5.0,4.0,1.0,2.0,,12.0,17.0,,,,,,76.0
22,"Duncan, Mitch",12,4,15,27,,,,4.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,8.0,19.0,,,,2.0,1.0,71.0
28,"Gregson, Cory",5,1,5,10,1,1.0,,4.0,,3.0,,2.0,1.0,,,4.0,6.0,1.0,1.0,2.0,2.0,,79.0
29,"Guthrie, Cameron",6,1,12,18,,,1.0,6.0,,2.0,2.0,3.0,2.0,1.0,,6.0,14.0,,,1.0,4.0,1.0,70.0
26,"Hawkins, Tom",8,5,4,12,,,,2.0,,4.0,,3.0,,1.0,,4.0,7.0,2.0,1.0,1.0,,1.0,87.0
25,"Henderson, Lachie",13,10,4,17,,,,1.0,5.0,1.0,,,,,,4.0,13.0,2.0,,5.0,,,92.0
8,"Kolodjashnij, Jake",6,3,6,12,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,5.0,6.0,1.0,,1.0,,,85.0
11,"Lang, Darcy",6,3,5,11,1,1.0,,2.0,,1.0,2.0,1.0,,,,4.0,7.0,,1.0,,,,83.0
13,"Lonergan, Tom",8,6,4,12,,,,2.0,2.0,2.0,,,,,,2.0,10.0,1.0,,3.0,,,91.0
4,"Mackie, Andrew",16,8,6,22,,,,4.0,4.0,2.0,2.0,4.0,1.0,3.0,,5.0,17.0,,,2.0,1.0,,84.0
10,"Menzel, Daniel",10,8,8,18,,5.0,,3.0,,1.0,,1.0,,,,5.0,12.0,2.0,6.0,,,1.0,81.0
32,"Motlop, Steven",19,4,5,24,2,1.0,,,1.0,4.0,1.0,2.0,,2.0,,4.0,19.0,,1.0,,2.0,,84.0
21,"Murdoch, Jordan",5,4,5,10,,,,3.0,,1.0,,4.0,,2.0,,3.0,7.0,,,3.0,,,72.0
36,"Ruggles, Tom",9,2,8,17,,,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,,3.0,13.0,,,,,,85.0
14,"Selwood, Joel",14,5,12,26,,,,5.0,2.0,8.0,4.0,6.0,2.0,2.0,,11.0,15.0,,,3.0,,1.0,74.0
9,"Smith, Zac",3,2,3,6,1,2.0,10.0,4.0,,,1.0,1.0,1.0,,,3.0,3.0,1.0,2.0,1.0,,,71.0
1,"Stanley, Rhys",5,1,3,8,1,2.0,10.0,3.0,2.0,1.0,,5.0,,3.0,,4.0,4.0,,1.0,2.0,,1.0,84.0
7,"Taylor, Harry",12,8,8,20,,,,2.0,5.0,,,2.0,1.0,1.0,,7.0,13.0,1.0,,4.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,97,162,359,9,18.0,26.0,71.0,30.0,50.0,27.0,58.0,16.0,24.0,1.0,123.0,238.0,15.0,19.0,36.0,12.0,7.0,
Opposition,Opposition,207,104,219,426,6,6.0,32.0,59.0,36.0,40.0,38.0,51.0,24.0,16.0,5.0,132.0,293.0,1.0,9.0,39.0,4.0,5.0,
