Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",29y 324d,148 (98-1-49 66.55%),21 (0.14),←,
46,"Blicavs, Mark",34y 133d,290 (192-3-95 66.72%),77 (0.27),←,
12,"Bowes, Jack",27y 194d,138 (54-2-82 39.86%),43 (0.31),55 (33-1-21 60.91%),29 (0.53)
5,"Cameron, Jeremy",32y 129d,275 (147-3-125 54.00%),727 (2.64),104 (70-0-34 67.31%),300 (2.88)
13,"Clark, Jhye",21y 16d,23 (12-0-11 52.17%),3 (0.13),←,
45,"Close, Brad",27y 9d,122 (83-1-38 68.44%),106 (0.87),←,
16,"De Koning, Sam",24y 163d,80 (56-1-23 70.63%),6 (0.08),←,
28,"Dempsey, Oliver",22y 213d,53 (34-0-19 64.15%),50 (0.94),←,
39,"Guthrie, Zach",27y 39d,123 (79-2-42 65.04%),15 (0.12),←,
38,"Henry, Jack",26y 344d,159 (107-1-51 67.61%),24 (0.15),←,
9,"Holmes, Max",22y 344d,97 (63-1-33 65.46%),45 (0.46),←,
17,"Humphries, Lawson",22y 196d,31 (23-0-8 74.19%),5 (0.16),←,
10,"Knevitt, Mitch",22y 212d,20 (11-0-9 55.00%),5 (0.25),←,
7,"Mannagh, Shaun",28y 2d,30 (23-0-7 76.67%),38 (1.27),←,
32,"Miers, Gryan",26y 131d,150 (99-1-50 66.33%),111 (0.74),←,
34,"Mullin, Oisin",25y 178d,38 (22-0-16 57.89%),,←,
33,"Neale, Shannon",23y 14d,41 (27-0-14 65.85%),61 (1.49),←,
42,"OConnor, Mark",28y 203d,143 (95-0-48 66.43%),10 (0.07),←,
14,"OSullivan, Connor",20y 81d,21 (15-0-6 71.43%),,←,
3,"Smith, Bailey",24y 244d,121 (72-0-49 59.50%),50 (0.41),18 (13-0-5 72.22%),6 (0.33)
1,"Stanley, Rhys",34y 250d,226 (134-2-90 59.73%),114 (0.50),168 (113-2-53 67.86%),74 (0.44)
18,"Stengle, Tyson",26y 293d,104 (63-1-40 61.06%),167 (1.61),88 (58-1-29 66.48%),152 (1.73)
44,"Stewart, Tom",32y 146d,187 (123-1-63 66.04%),5 (0.03),←,
Totals,Totals,26y 215d,2620 (1632-20-968 62.29%),1683 (0.64),,
C,"Scott, Chris",49y 97d,355 (241-3-111 68.31%),,←,
