Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
16,"Bone, Randall",22y 229d,25 (14-0-11 56.00%),17 (0.68),13 (6-0-7 46.15%),4 (0.31)
27,"Chick, Daniel",20y 140d,13 (5-1-7 42.31%),6 (0.46),←,
5,"Collins, Andrew",31y 65d,203 (129-1-73 63.79%),36 (0.18),←,
9,"Crawford, Shane",21y 294d,70 (35-1-34 50.71%),61 (0.87),←,
19,"Dunstall, Jason",31y 320d,238 (164-1-73 69.12%),1127 (4.74),←,
34,"Graham, Mark",23y 108d,55 (25-1-29 46.36%),8 (0.15),←,
15,"Harford, Daniel",19y 102d,23 (8-0-15 34.78%),12 (0.52),←,
22,"Hargreaves, Tim",21y 30d,36 (14-1-21 40.28%),53 (1.47),←,
2,"Holland, Nick",21y 336d,28 (9-1-18 33.93%),19 (0.68),←,
17,"Hudson, Paul",25y 345d,125 (74-0-51 59.20%),253 (2.02),←,
1,"Jencke, Ray",30y 96d,179 (115-1-63 64.53%),27 (0.15),←,
11,"Kappler, Darren",31y 158d,155 (49-1-105 31.94%),130 (0.84),9 (4-1-4 50.00%),5 (0.56)
24,"Langford, Chris",33y 179d,285 (197-2-86 69.47%),31 (0.11),←,
7,"McCabe, Luke",19y 324d,12 (6-0-6 50.00%),3 (0.25),←,
44,"Platten, John",33y 104d,232 (153-1-78 66.16%),209 (0.90),←,
10,"Robran, Jonathon",23y 252d,15 (6-0-9 40.00%),,←,
4,"Salmon, Paul",31y 161d,217 (125-3-89 58.29%),512 (2.36),8 (2-1-5 31.25%),3 (0.38)
21,"Stevenson, Shayne",26y 17d,36 (10-1-25 29.17%),32 (0.89),25 (10-1-14 42.00%),23 (0.92)
6,"Taylor, Richard",22y 351d,25 (11-1-13 46.00%),12 (0.48),←,
33,"Treleven, Craig",26y 15d,13 (5-1-7 42.31%),4 (0.31),←,
30,"Woods, Tony",26y 363d,61 (25-1-35 41.80%),13 (0.21),30 (9-1-20 31.67%),3 (0.10)
Totals,Totals,25y 346d,2046 (1179-19-848 57.62%),2565 (1.25),,
C,"Judge, Ken",38y 166d,13 (5-1-7 42.31%),,←,
