Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
44,"Bellchambers, Tom",18y 334d,1 (0-0-1 0.00%),,←,
31,"Fletcher, Dustin",33y 31d,286 (174-3-109 61.36%),65 (0.23),←,
19,"Hille, David",27y 5d,135 (60-1-74 44.81%),96 (0.71),←,
43,"Houli, Bachar",20y 26d,14 (5-0-9 35.71%),7 (0.50),←,
7,"Jetta, Leroy",19y 337d,12 (5-0-7 41.67%),4 (0.33),←,
18,"Lloyd, Matthew",30y 52d,241 (140-2-99 58.51%),855 (3.55),←,
36,"Lonergan, Sam",21y 73d,9 (2-0-7 22.22%),4 (0.44),←,
42,"Lovett-Murray, Nathan",25y 202d,74 (23-0-51 31.08%),43 (0.58),←,
13,"Lovett, Andrew",25y 209d,58 (16-1-41 28.45%),65 (1.12),←,
25,"Lucas, Scott",30y 160d,250 (137-2-111 55.20%),435 (1.74),←,
33,"McPhee, Adam",25y 245d,136 (51-0-85 37.50%),67 (0.49),111 (45-0-66 40.54%),58 (0.52)
10,"McVeigh, Mark",27y 133d,170 (83-2-85 49.41%),84 (0.49),←,
6,"Monfries, Angus",21y 140d,61 (17-1-43 28.69%),54 (0.89),←,
23,"Myers, David",18y 343d,5 (0-0-5 0.00%),1 (0.20),←,
17,"Nash, Jay",22y 169d,30 (10-1-19 35.00%),8 (0.27),←,
16,"Pears, Tayte",18y 75d,5 (0-0-5 0.00%),2 (0.40),←,
37,"Reimers, Kyle",19y 149d,11 (2-0-9 18.18%),5 (0.45),←,
30,"Ryder, Paddy",20y 85d,41 (13-1-27 32.93%),8 (0.20),←,
20,"Slattery, Henry",22y 137d,42 (14-1-27 34.52%),6 (0.14),←,
5,"Stanton, Brent",22y 37d,87 (28-1-58 32.76%),50 (0.57),←,
12,"Welsh, Andrew",25y 117d,124 (49-2-73 40.32%),23 (0.19),←,
8,"Winderlich, Jason",23y 241d,56 (19-0-37 33.93%),21 (0.38),←,
Totals,Totals,23y 216d,1848 (848-18-982 45.89%),1903 (1.03),,
C,"Knights, Matthew",37y 246d,11 (2-0-9 18.18%),,←,
