Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Brayshaw, Angus",11,4,10,21,,1.0,,3.0,1.0,4.0,6.0,2.0,,,,12.0,9.0,,1.0,,,,78.0
31,"Fritsch, Bayley",13,8,1,14,3,1.0,,1.0,1.0,4.0,,2.0,3.0,1.0,,5.0,9.0,3.0,3.0,3.0,,1.0,83.0
11,"Gawn, Max",8,6,8,16,2,2.0,42.0,5.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,9.0,6.0,2.0,2.0,4.0,,,84.0
19,"Hannan, Mitch",13,5,5,18,3,1.0,,4.0,,5.0,1.0,,,,,8.0,10.0,1.0,2.0,1.0,,2.0,86.0
4,"Harmes, James",7,3,16,23,,1.0,,9.0,,2.0,,4.0,,3.0,,11.0,15.0,,2.0,,,,77.0
14,"Hibberd, Michael",19,8,5,24,,,,4.0,10.0,1.0,,2.0,,,1.0,3.0,20.0,1.0,,2.0,,,87.0
1,"Hogan, Jesse",5,5,3,8,2,1.0,,2.0,,1.0,,2.0,,,,,8.0,,3.0,1.0,,,71.0
29,"Hunt, Jayden",8,4,3,11,,,,1.0,2.0,1.0,1.0,3.0,,2.0,,4.0,8.0,2.0,,4.0,,,81.0
39,"Jetta, Neville",3,5,13,16,,,,4.0,1.0,,,1.0,2.0,1.0,,9.0,7.0,1.0,,3.0,,,84.0
2,"Jones, Nathan",12,,12,24,,1.0,,6.0,,7.0,9.0,5.0,2.0,3.0,2.0,13.0,11.0,,,,,,88.0
8,"Lever, Jake",9,6,4,13,,,,3.0,1.0,3.0,,5.0,,2.0,,3.0,10.0,1.0,,2.0,,,91.0
6,"Lewis, Jordan",11,6,8,19,,,,1.0,1.0,2.0,3.0,2.0,,,,4.0,16.0,,,4.0,,,87.0
28,"McDonald, Oscar",6,4,3,9,,,,,1.0,1.0,,1.0,1.0,1.0,,4.0,5.0,1.0,,7.0,,,100.0
25,"McDonald, Tom",11,5,5,16,2,,2.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,,10.0,6.0,,1.0,3.0,,,69.0
18,"Melksham, Jake",10,5,4,14,2,1.0,,2.0,,6.0,,1.0,2.0,,,7.0,6.0,1.0,3.0,,,3.0,85.0
30,"Neal-Bullen, Alex",3,,5,8,,1.0,,3.0,,,,,,,,4.0,4.0,,,,,2.0,83.0
13,"Oliver, Clayton",8,2,11,19,,,,7.0,2.0,3.0,5.0,2.0,1.0,1.0,,13.0,7.0,,,2.0,,,83.0
3,"Salem, Christian",16,4,11,27,,,,5.0,6.0,1.0,2.0,6.0,2.0,,,9.0,13.0,,,1.0,1.0,,83.0
9,"Spargo, Charlie",4,4,14,18,2,,,3.0,,2.0,1.0,1.0,2.0,1.0,,9.0,9.0,,1.0,,,,74.0
12,"Tyson, Dom",7,5,12,19,,1.0,,1.0,2.0,3.0,3.0,1.0,,1.0,,6.0,13.0,,1.0,,,,72.0
23,"Vince, Bernie",9,2,4,13,,,,3.0,2.0,1.0,1.0,1.0,,1.0,,4.0,9.0,,,2.0,1.0,,75.0
26,"Weideman, Sam",3,3,6,9,,,1.0,1.0,,2.0,1.0,2.0,,,,6.0,3.0,2.0,,1.0,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,94,163,359,16,12.0,45.0,69.0,34.0,55.0,38.0,49.0,23.0,21.0,6.0,153.0,204.0,15.0,19.0,40.0,2.0,8.0,
Opposition,Opposition,204,81,197,401,10,12.0,26.0,78.0,34.0,47.0,28.0,57.0,21.0,23.0,,143.0,253.0,10.0,14.0,45.0,10.0,8.0,
